title,text,author,published,tags,source
Arbeitsmarkt-Integration von Flüchtlingen ist auf einem guten Weg,,,1600671871,"Videos,Neue Studie",welt
Die nächste Reise ins Ungewisse,"Nach dem Pokal-Aus ist die Sorge beim FC St. Pauli groß: Kann der neue Trainer Timo Schultz die Wende zum Besseren schaffen? Denn all jene Probleme, die das Team seit Jahren mit sich herumschleppt, sind noch da.

Der neue Trainer des FC St. Pauli, Timo Schultz, war einst selbst Spieler in der Profimannschaft und ein geachteter Kämpfertyp

Anzeige

Fußball ist an vielen Orten ein Krisengeschäft. Ständig bleiben Klubs im Wettstreit mit den anderen unter den eigenen Erwartungen. Der FC St. Pauli stolpert auf diese Weise seit Jahren von einer Bedrängnis in die nächste – und gehört im Konzert der 36 deutschen Profiklubs auch aktuell schon wieder zu den heißesten Kandidaten für einen sportlichen Shutdown.

Eine Niederlage beim Saisonstart am Montagabend im Bochumer Ruhrstadion würde dieses Drohszenario verstärken. Der Kontrahent gehört zwar nicht zu den Topmannschaften der Liga, besitzt im Vergleich mit den Hamburgern allerdings einige Vorzüge. Die Mannschaft ist eingespielt, die Stammelf überwiegend an Bord geblieben. Der VfL hat im Frühjahr unter Corona-Bedingungen einen starken Schlussspurt hingelegt, ist noch auf Rang acht im Gesamtklassement geklettert. Und die Elf hat die erste Pokalrunde gegen einen Oberligisten zwar glanzlos, aber ungefährdet überstanden.

Lesen Sie auch Zweitliga-Gipfel „Einen zweiten Lockdown würde der Fußball nicht überleben“

Am Millerntor hingegen scheinen nach der 2:4-Blamage beim SV Elversberg die Träume von einer erfolgreicheren Zukunft schon jetzt zu leiden. Erbrachte die Testspielreihe noch ein annehmbares Gesamtbild, endete der erste Härtetest gleich mit einer Niederlage. Das in deprimierendem Stil verlorene Match beim Viertligisten legte bloß: All jene Probleme, die das St.-Pauli-Profiteam seit Jahren mit sich herumschleppt, sie sind alle noch da.

Anzeige

Es hat sogar den Anschein, als sollten sie sich noch intensivieren. Jedenfalls mehren sich die Zweifel an der Ligatauglichkeit des Kaders in seiner derzeitigen Zusammenstellung. Die Defensive wirkte konfus, das Mittelfeld agierte uninspiriert, der Angriff harmlos. Von teamgetriebenem Ehrgeiz, von Siegeswillen und Leidenschaft keine Spur.

Lesen Sie auch Rot-Weiss Essen Gerettet von den eigenen Fans

Der geplante Umbruch droht zum Einbruch zu geraten. Acht neue Spieler holte die sportliche Führung, allen attestierte sie wortreich, dass sie sowohl von ihren fußballerischen Anlagen als auch charakterlich gut zum Kiezklub passen würden. Diese Statements sorgten erst mal für Zuversicht. Oberflächlich betrachtet hat der Verein zwar solide eingekauft, doch mehr als Zweitligamittelmaß war finanziell nicht drin.

Der Verlust zahlreicher Leistungsträger ist so nicht wettzumachen. Allein der Abgang der Stürmer Henk Veerman, Dimitrios Diamantakos und Viktor Gyökeres wiegt schwer. Diese drei erzielten 75 Prozent der Treffer in der vergangenen Spielzeit. Hinzu kommt, dass der auf der rechten Außenbahn stets für viel Action sorgende Ryo Miyaichi fürs Erste nicht zur Verfügung steht. Der Japaner plagt sich unter anderem mit Adduktorenproblemen herum. Bereits in den Testspielen gelangen St. Pauli nur vereinzelt Tore. Der neue Coach Timo Schultz räumte ein: „Da hätte ich mir auch mehr gewünscht, aber wir haben einige Male ja ganz ohne Spitzen spielen müssen.“

Zumindest die Abwehr des FC St. Pauli hat viel Erfahrung

Anzeige

Sollten die erprobten Innenverteidiger Christopher Avevor und Philipp Ziereis – beide verpassten die letzte Spielzeit infolge schwerer Verletzungen nahezu komplett – an ihre Bestform anknüpfen, könnte immerhin die Abwehr wieder zum Bollwerk werden, Fundament für einen positiven Saisonverlauf. In der Vorbereitung sah es ganz danach aus, inzwischen nicht mehr. In Elversberg taumelte die hintere Reihe, egal ob sie aus drei oder vier Spielern bestand, von einer Bredouille in die nächste. Ein bulliger Torjäger wie der Bochumer Silvère Ganvoula könnte eine derart brüchige Kette im Alleingang niederreißen.

Von den Außenverteidigern kommt wie gewohnt wenig Offensivpower, zumal dann, wenn Daniel Buballa erneut ausfallen sollte. Das Mittelfeld könnte im Falle einer Leistungssteigerung in defensiver Hinsicht ausreichend besetzt sein, unter anderen mit Marvin Knoll und Afeez Aremu (21), der als Abräumer vom norwegischen Erstligisten Kristiansand geholt wurde. Dringend benötigt wird hingegen eine fixe Anspielstation, ein Spielmacher, der imstande ist, Angriffe variabel, Konter schnell und ideenreich einzuleiten. Ob der von Eintracht Frankfurt ausgeliehene Rodrigo Zalazar, Finn Ole Becker oder Rico Benatelli im Laufe des Herbstes in diese Leaderposition hineinwachsen, ist ungewiss.

Spieler des FC St. Pauli nach der Pokalniederlage Quelle: dpa/Tom Weller

So wirkt die Erwartung, die Hamburger könnten fortan „oben angreifen“ weltfremd. Der Kader ist geprägt von unerfahrenen Spielern. Das kann gutgehen, muss es aber nicht. Momentan sieht es eher danach aus, als ob der Sprung aus dem Amateur- in den Berufsfußball die meisten dieser Talente überfordere. Eine Erfahrung, die sie beim Kiezklub schon in der jüngeren Vergangenheit mehrfach machen mussten.

Der neue Coach scheut sich nicht vor Busreisen

Anzeige

Über allem steht die Frage, ob der im Nachwuchsbereich erfolgreiche Cheftrainer auch auf dem höheren Parkett zurechtkommt. Branchenkenner attestieren Schultz die nötigen Fähigkeiten, warnen aber zugleich, dass die unerwartete Pokalpleite die Aufgabe des Trainers zusätzlich erschwert. Noch verfügt er ganz offensichtlich über kein funktionierendes Mannschaftsgefüge, und er hat noch nie gestandene Profis mit ihren individuellen Befindlichkeiten und Interessen anleiten müssen. Seine umgängliche Art beschert Schultz zwar hohe Sympathiewerte, aber Popularität schießt nun mal keine Tore.

Unter Schultz, der einen Neuanfang sowohl symbolisieren als auch gestalten soll, war die Stimmung dennoch im Kader vom ersten Tag an eine andere, entspanntere. Der Neue – schon als Spieler von eher schnörkellosem Auftreten – verzichtet gern auf Schnickschnack. Die 670-Kilometer-Strecke zum Pokalspiel in Elversberg ließ er gleich zweimal im Bus zurücklegen. Schultz: „Das haben wir früher auch oft gemacht. Ich sehe darin keinen Nachteil. Soll mir keiner erzählen, er hätte deswegen seine Zweikämpfe verloren.“ Die Botschaft dahinter: Als kerniger St. Paulianer hat man gefälligst geerdet zu bleiben. Was momentan nicht allzu kompliziert ist: Zum Abheben gibt es keinerlei Anlass.

Vorerst wurde die Parole ausgegeben, panische Handlungen zu unterlassen, die Ruhe zu bewahren. Demnach zeichnet sich eine Neuauflage der 2019er-Einkaufspolitik ab: Erstmal gucken, was das vorhandene Personal hergibt und im Notfall auf den Ersatzbänken europäischer Erstligisten nachschauen, wer von dort noch qualitätssteigernd ausgeliehen werden könnte. Ein geschmeidiges Hineingleiten in die Punktspielsaison könnte auf diese Weise jedoch schwierig werden.

Dieser Text ist aus der WELT AM SONNTAG. Wir liefern sie Ihnen gerne regelmäßig nach Hause.",Werner Langmaack,1600671561,"Hamburg,FC St. Pauli",welt
Gareth Bale einer der Besten der Welt,,,1600671355,"Sport,Frank Lampard",welt
Vertragsverlängerung? „Muss es mir verdienen“,,,1600671214,"Sport,Pep Guardiola",welt
Borussia Dortmund erledigt Gladbach im Topspiel,,,1600671157,"Sport,Bundesliga",welt
Aguero-Comeback absehbar! Das sagt Pep Guardiola,,,1600671010,"Sport,Manchester City",welt
"Wird schwer, Luis Suarez zu holen",,,1600670890,"Sport,Andrea Pirlo",welt
„War sehr eng“,,,1600670499,"Sport,Lucien Favre",welt
„Fühlt sich nicht gut an“,,,1600670330,"Sport,Marco Rose",welt
So machen auch Fotografie-Anfänger gute Porträts,"Anzeige

Das A und O der Porträtfotografie ist die Kommunikation mit der Person vor der Kamera. Ein Richtig oder ein Falsch gibt es hier nicht. „Der Mensch und die Emotionen stehen im Vordergrund“, findet Daniel Hammelstein, Fotograf aus Bonn. Das echte Interesse am Gegenüber sei das Wichtigste, die Technik und das Handwerk spielten da eher eine untergeordnete Rolle.

Auch Diplom-Fotodesigner Markus Hauschild aus Münster zählt zuerst Zwischenmenschliches auf: Entscheidend seien die Zusammenarbeit, das Vertrauen und die Nähe, sagt er. Für die Person hinter der Kamera sei es wichtig, das Model zu leiten und zu begleiten.

Genau das soll sich später in den Bildern widerspiegeln. Gefragt ist kein steriles Passfoto. Auf dem Bild sollte ein interessanter Mensch mit Ecken und Kanten zu sehen sein. „Der Betrachter sollte spüren, dass zwischen dem Porträtierten und dem Fotografen etwas passiert ist, dass etwas hin und her schwirrt“, schildert Hammelstein.

Porträtfotografie ist eine Frage der Psychologie

Anzeige

Während des Fotografierens spielt daher die Psychologie eine große Rolle, weiß Hauschild. Die Porträtierten sollten nicht anfangen, darüber nachzudenken, ob sie gerade lächeln und wie das aussieht.

Aus dem Grund sei Ablenkung alles. So ließen sich etwa Aufforderungen an das Model einfach in die Unterhaltung einbauen. „Guckst du grad mal bitte ein bisschen nach links?“

Lesen Sie auch Hobbyfotografie Mit diesen Tipps machen auch Einsteiger tolle Fotos

Viele, die sich mit der Kamera noch ausprobieren, sind am Anfang unsicher, erläutert Hammelstein, der Einsteiger-Workshops rund um die Porträtfotografie gibt. Dazu kommt: „Der Mensch vor der Kamera ist vielleicht genauso unsicher, weil er das noch nie gemacht hat“, sagt er.

Anzeige

Sein Tipp: Die Kamera erst einmal weglegen, einen Kaffee trinken und sich unterhalten.

Auch Promis haben vor der Kamera Probleme

„Selbst Promis haben meist ein Problem damit, fotografiert zu werden“, hat Hauschild festgestellt. Die Vorstellung, die man von sich selbst habe, sei eben nicht deckungsgleich mit dem, was man auf dem Foto sehe, führt er dazu aus.

Hammelstein rät, das sich Fotograf und Model zwischendurch gemeinsam die Fotos anschauen sollten. Denn wer zum ersten Mal vor einer Kamera steht und nie das Ergebnis zu sehen bekommt, wird zunehmend befangen. „Porträts sind eine Gemeinschaftsproduktion“, so der Experte.

Lesen Sie auch Datensicherung und Fotodruck Mit diesen Tipps schenken Sie Ihren Urlaubsfotos ein zweites Leben

Anzeige

Man sollte ein Model wählen, das man kennt, aber nicht jeden Tag vor sich hat, empfiehlt Hammelstein. Wer etwas investieren möchte, kann jemanden buchen, der schon Erfahrungen vor der Kamera gemacht hat – und Tipps geben kann. Olaf Gallas dagegen regt an, mit Freunden zu experimentieren. „Man ist lockerer und kann herumlabern“, erläutert der Fotograf aus Frankfurt am Main.

Zum Ausprobieren will Hauschild ebenfalls animieren: „Am besten eine große Auswahl an Klamotten mitbringen und zusammen aussuchen, was zur Location und zum Menschen passt.“ Als Orte für erste Porträtversuche eignen sich Wohnungen mit großen Fenstern, die Natur oder ein Platz in der Stadt. Im Zusammenspiel mit Architektur etwa lassen sich spannende Verbindungen herstellen.

Porträtautomatik der Kamera nutzen

„Fotografie-Anfänger können erst einmal die Porträtautomatik der Kamera nutzen, um sich heranzutasten“, erklärt Hammelstein. Wenn man wie er nur mit Tageslicht arbeitet, sind die Objektive wichtig. Dann seien lichtstarke Festbrennweiten, eine große Blendenöffnung und ein niedriger ISO-Wert zu empfehlen. Gallas rät, die Schärfe auf die Augen zu legen, die Nasenspitze dagegen könne unscharf werden.

Das Licht ist am besten weich und indirekt, empfiehlt Hammelstein. Auf keinen Fall sollte man sein Model in die pralle Sonne stellen. Je nach Situation könne dafür ein Blitz sinnvoll sein, so Hauschild.

Lesen Sie auch Kamera-Funktionen Mit diesen Autofokus-Einstellungen machen Sie bessere Fotos

„Beispielsweise, wenn die Umgebung dunkel bleiben, der Protagonist aber gut ausgeleuchtet sein soll.“ Einen Aufsteckblitz halten die Profis allerdings nicht für empfehlenswert. Besser seien mobile Geräte oder Blitze auf einem Stativ.

In der Natur kann eine weiße Pappe zur Aufhellung dienen. „Dann ist es gut, wenn noch jemand dabei ist, um zu helfen“, erklärt Gallas.

Musik kann bei Porträtfotos entspannen

Und manchmal braucht es Musik. Sie kann die Situation entspannen. Vorausgesetzt natürlich, die Klänge gefallen allen Beteiligten. Im Studio fotografiert Markus Hauschild allerdings nie mit Musik. „Es sind dann ohnehin schon einige Menschen im Raum, da wäre Musik zu viel“, begründet er.

Anzeige

Auch Make-up kann dazu beitragen, dass sich Porträtierte sicherer fühlen – aber die Menge macht es. „Die Fotografierten sollten nicht zu angemalt aussehen und nicht glänzen“, warnt Hauschild. Er rät, vor allem für die Arbeit mit Blitz stets farbloses Puder parat zu haben.

Bei Menschen, die nicht tagtäglich fotografiert würden, sei ein professionelles Make-up ganz wichtig, findet Gallas. „Bei Männern ist es mehr oder weniger ein Placebo. Sie werden gekämmt und gepudert, haben aber das Gefühl, es wird sich gekümmert.“

Lesen Sie auch Kamera-Test Die Canon EOS 90D ist etwas für anspruchsvolle Fotografen





Dieser Artikel wurde erstmals im Oktober 2019 veröffentlicht.",Bernadette Winter,1600670280,"Webwelt & Technik,Fotografie",welt
