title,text,author,published,tags,source
"„Tiere sind deutlich toleranter, als Menschen das glauben“",,Holger Kreitling,1597396881,"Wissenschaft,Verhalten in der Natur",welt
Im Kabinentunnel geraten Nagelsmann und Simeone aneinander,"Sportlich entscheidet Julian Nagelsmann das Duell mit Diego Simeone für sich. Doch in der Halbzeit geraten die beiden im Kabinentunnel aneinander. Leipzigs Trainer berichtet und wertet das Trainer-Duell als „unentschieden“.

Mit einer couragierten Leistung belohnt sich RB Leipzig und zieht erstmals in ein Champions-League-Halbfinale ein. Der Siegtreffer gegen Liverpool-Besieger Atlético Madrid fällt erst spät. Nun könnte sogar ein deutsch-deutsches Finale winken.

Anzeige

So ganz rausrücken mit der Sprache über den Vorfall in der Halbzeitpause wollte Julian Nagelsmann nicht. Mit Atlético-Trainer Diego Simeone war der Trainer von RB Leipzig in der Halbzeitpause offensichtlich recht heftig aneinandergeraten. Ging es möglicherweise im Estádio José Alvalade sogar handgreiflich zur Sache?

Im Siegestaumel des Halbfinaleinzugs wollte Nagelsmann die Angelegenheit nach dem 2:1 (0:0) gegen die Spanier beim Champions-League-Blitzturnier dann nicht überbewerten und berichtete von einer „sehr herzlichen Gratulation“ Simeones nach dem Abpfiff.

„Bis auf die Halbzeit war das alles okay“, sagte Nagelsmann kurz nach dem Spiel bei Sky. Auf Nachfrage der Reporterin legte der 33-Jährige nach. „In der Halbzeit wollte er klarstellen, dass er ein unheimlicher Winner ist, dass er auch im Kabinentunnel gewinnen will“, deutete Nagelsmann den Disput an.

Julian Nagelsmann ließ seinen Emotionen nach dem Sieg gegen Atlético Madrid freien Lauf - und machte nebulöse Andeutungen Quelle: REUTERS

Anzeige

Was genau vorfiel, verschwieg Nagelsmann jedoch: „Das erzähle ich jetzt nicht im Detail. Aber es gibt ja Kameras ...“ Die lösen die Geschichte allerdings auch nicht auf, denn in den TV-Bildern war der Weg in die Kabine nicht zu sehen.

Nagelsmann hält sich bedeckt

Auf Nachfrage, ob Simeone denn unsportlich gewesen sei, antwortete Nagelsmann ebenfalls ausweichend: „Ich hätte es nicht gemacht, aber das muss jeder für sich entscheiden.“ Einschüchtern ließ sich Leipzigs Trainer von dem Zwischenfall offenbar nicht und fuhr etwas kryptisch fort: „Dass ich das Nötige dagegengehalten habe, dass es im Kabinentunnel unentschieden ausgegangen ist, und im Spiel haben wir gewonnen.“

Lesen Sie auch Orthopäde erklärt Nackenschmerzen? „Manche wissen nicht mehr, was lockere Muskeln sind“

Wenig später zollte Nagelsmann seinem als Hitzkopf bekannten Kollegen mit einem Kompliment dennoch Respekt: „Ich wollte das nicht dramatisieren, sondern hervorheben, dass ich das geil finde, was er für ein Typus ist, dass er wahrscheinlich auch im Schnick-Schnack-Schnuck unbedingt gewinnen will.“

Anzeige

Leipzig war in der 50. Minute durch Dani Olmo in Führung gegangen, ehe Joao Félix rund 20 Minuten später per Elfmeter ausglich. Kurz vor dem Ende gelang dem eingewechselten Tyler Adams der Siegtreffer für Leipzig.","'Jens Bierschwale', 'Tobias Altschäffl'",1597395996,"Champions League,RB Leipzig - Atlético Madrid",welt
RKI präsentiert Ergebnisse der Corona-Studie in Kupferzell,,,1597395533,"Deutschland,Antikörpertests",welt
„Fortnite“-Entwickler starten Rebellion gegen den App-Store,,"'Teresa Pfützner', 'Stefan Beutelsbacher', 'Laure Mandeville', 'Stefan Aust'",1597395480,"Wirtschaft,Streit mit Apple",welt
Das kann die beste Profi-Systemkamera mit 8K-Video,"Die Canon EOS R5 ist ein Detailspezialist mit 45-Megapixel-Fotos und 8K-Video. Die Profisystemkamera punktet im Test aber auch bei Tempo und Ausstattung. Selbst Topspiegelreflexkameras sind da nur noch in einem Punkt besser.

Anzeige

Bei den Systemkameras mit Vollformatsensor war Canon der letzte Hersteller, der auf den Zug aufgesprungen ist. Erst 2018 kam mit der Canon EOS R das erste Modell des weltgrößten Kameraherstellers. Die erreichte zwar gute Ergebnisse im Test, konnte aber bei der Ausstattung nicht immer mit der Konkurrenz mithalten.

Das passiert bei der Canon EOS R5 garantiert nicht – das neue Topmodell unter den Systemkameras ist vollgestopft mit Technik. Was der Bolide kann, sagt der Test von „Computer Bild“.

Canon EOS R5: Superscharf und detailreich

Herzstück der Canon EOS R5 ist ein neuer Bildsensor mit 45 Megapixel (Auflösung 8192 x 5464 Pixel), der im Testlabor neue Rekordmarken bei Detailgenauigkeit und Bildschärfe setzte. Da können nur sehr wenige Kameras mithalten, bei den Systemkameras etwa die Nikon Z7, die Panasonic Lumix S1R und die Sony Alpha 7R IV.

Lesen Sie auch Profi-Kamera im Test Besser als die Nikon D6 fotografiert noch keine Spiegelreflex

Anzeige

Im Spiegelreflexlager kann nur eine Kamera der EOS R5 Paroli bieten, die Nikon D850. Erfreulich dabei: Die Bildqualität der EOS R5 lässt bei Schummerlicht nur wenig nach, wenn der Fotograf eine höhere ISO-Empfindlichkeit einstellt: Fotos mit ISO 1600 lassen sich erst in der 100-Prozent-Ansicht von einem Bild mit der Standardeinstellung ISO 100 unterscheiden (siehe Fotostrecke) und selbst bei Aufnahmen mit ISO 6400 lässt die Bildschärfe und die Detailgenauigkeit kaum nach.

Der Sucher der Canon EOS R5 zeigt 5,76 Millionen Pixel (Auflösung 1600 x 1200 Pixel). Das sorgt für eine sehr detailreiche Darstellung Quelle: Canon

Der Unterschied zum Schwestermodell Canon EOS R6 fällt trotz mehr als doppelter Megapixel-Zahl gering aus. Wer die Bildqualität der Canon EOS R5 voll ausreizen will, sollte aber Systemkamera-Objektive ansetzen.

Profilinsen wie das zum Test verwendete Canon RF 24-105mm f4 IS L USM, das Canon RF 15-35mm f2.8 L IS USM oder das Canon RF 70-200mm f2.8 L IS USM liefern noch detailreichere und schärfere Aufnahmen als Spiegelreflexoptiken, die sich beispielsweise mit dem Canon Adapter EF-EOS R an der EOS R5 nutzen lassen.

Canon EOS R5 ist top für Video

Anzeige

Konnten die bisherigen EOS-R-Kameras bei der Videoaufnahmen nicht ganz überzeugen, geht Canon bei EOS R5 in die Vollen: Sie ist die erste Vollformat-Systemkamera, die in 8K filmen kann. Zur Wahl stehen dabei Cinema 8K (Auflösung 8192 x 4360 Pixel) im etwas breiteren 17:9-Format und 8K im Standardformat 16:9 (Auflösung 7680 x 4320 Pixel).

Dabei filmt die EOS R5 mit maximal 30 Bildern pro Sekunde. Auf Wunsch nimmt die EOS R5 die Videos dabei im RAW-Format auf. Das erzeugt gigantische Datenmengen, daher lässt sich die 8K-Aufnahme nur dann einschalten, wenn eine schnelle CFexpress-Speicherkarte in der Kamera steckt, etwa die Sandisk Extreme Pro CFexpress.

Lesen Sie auch Sony Alpha 9 II Das ist die beste Systemkamera für Profi-Fotografen

Wer lieber in 4K filmt, profitiert aber trotzdem von der hohen Auflösung der EOS R5, beispielsweise im HQ-Modus: Dann nimmt die Kamera in 8K auf und rechnet die Videos auf 4K runter. Und ganz nebenbei sorgt die geballte Rechenpower dafür, dass die EOS R5 Videos in 4K mit 60 Bildern pro Sekunde aufnimmt, im Zeitlupenmodus sogar mit 120 Bildern pro Sekunde, dann allerdings ohne Ton. Das kann sonst nur die Sony Alpha 7S III.

Anzeige

Vorteil der schnelleren 4K-Modi: Bei schnellen Bewegungen oder Kameraschwenks gibt es keine störenden Wischer, die bei einer Aufnahme mit 30 Bildern pro Sekunden häufig entstehen. Die Bildqualität der Videos ist schon in 4K mit den Standardeinstellungen top – sehr scharf und sehr detailreich. Da können nur sehr wenige Kameras mithalten, etwa die Nikon Z6 (die allerdings nur maximal 30 Bilder pro Sekunde in 4K schafft).

Lesen Sie auch Kamera-Test Die Nikon Coolpix P950 ist ein echter Zoom-Riese

Der Autofokus reagiert beim Filmen sehr schnell und sehr genau, da müssen Videofilmer nur sehr selten manuell scharfstellen. Steckt eines der neuen RF-Objektive an der EOS R5, ist der Autofokus zudem kaum zu hören. Die Tonqualität des eingebauten Mikrofons ist dagegen (wie bei den meisten Kameras) eher mäßig – die Aufnahmen klingen etwas hallern. Wer den Originalton der Aufnahme nutzen will, steckt besser ein externes Mikrofon auf. Dann sind Bild und Ton top.

Wer alle Videooptionen der EOS R5 ausreizt, merkt schnell, dass die Kamera bei längeren Aufnahmen warm wird – das Magnesiumgehäuse führt die Abwärme der Kameraelektronik ab. Mit den Standardeinstellungen waren aber auch lange Aufnahmesitzungen möglich, sieht man mal davon ab, dass die EOS R5 die Aufnahme nach 30 Minuten unterbricht, damit sich Canon die höheren Einfuhrabgaben für Videokameras sparen kann.

Endlich mit Bildstabilisator

Eine echte Verbesserung gegenüber den ersten Modellen Canon EOS R und Canon EOS RP: Die Canon EOS R5 kommt mit einem eingebauten Bildstabilisator. Vorteil: Der stabilisiert Fotos und Videos mit allen Objektiven, etwa dem Porträt-Tele Canon RF 85mm f1.2 L USM oder dem superlichtstarken Profizoom Canon RF 28-70mm f2 L USM.

Beim Filmen kann die Canon EOS R5 enorme Datenmengen erzeugen. Einige Videomodi können daher nur dann aktiviert werden, wenn eine besonders schnelle CFexpress-Speicherkarte in der ... Kamera steckt Quelle: Canon

Zudem kann der Bildstabilisator in der Kamera einen im Objektiv eingebauten Stabi ergänzen – Canon verspricht dabei bis zu acht Blenden Wackelausgleich, das entspricht einer 250-mal längeren Verschlusszeit. Im Praxis-Test erreichte die EOS R5 diesen Fabelwert zwar nicht (wie praktisch alle Kameras blieb sie unter den Werksangaben), konnte im Vergleich mit der Konkurrenz aber trotzdem Topwerte abliefern.

Selbst mit einer halben Sekunde Belichtungszeit waren bei einer Brennweite von 105 Millimeter noch wackelfreie Bilder möglich. Das schaffen nur wenige Kameras.

Supersucher drückt auf den Akku

Der Sucher der Canon EOS R5 ist schön groß (Suchervergrößerung 0,76-fach) und sehr detailreich dank einer Auflösung von 1600 x 1200 Pixeln (Herstellerangabe 5,76 Millionen Pixel, da hier Subpixel für Rot, Grün und Blau gezählt werden). Der Sucher gibt Farben mit der Standardeinstellung etwas kühl wieder.

Anzeige

Wer das nicht mag, kann aber über das Kameramenü eine wärmere Wiedergabe einstellen. Dann ist die EOS R5 fast genauso gut bei der Farbwiedergabe wie der aktuell beste Sucher, der in der Nikon Z6 und Z7 steckt – und durch die höhere Auflösung etwas detailreicher. Mit der Standardeinstellung zieht das Sucherbild bei schnellen Schwenks leicht nach, weil der Sucher nicht mit der maximal möglichen Bildwiederholrate läuft.

Lesen Sie auch Profi-Spiegelreflexkamera im Test Die Canon EOS-1D X Mark III ist ein Traum für Actionfotografen

Stellt der Fotograf im Kameramenü die Option Anzeigeleistung von Standard auf flüssig, arbeitet der Sucher mit bis zu 120 Bildern pro Sekunde. Dann gibt es auch bei schnellen Schwenks keine Verzögerung mehr – erste Wahl für Actionaufnahmen. Allerdings drückt diese Einstellung auf die Akkulaufzeit, im Test schaffte die EOS R5 dann nur etwa 700 Fotos mit einer Akkuladung. Im Standardmodus waren dagegen knapp 1200 Fotos oder gut zwei Stunden Filmen in 4K mit einer Akkuladung möglich.

Top-Autofokus mit genauer Motiverkennung

Der Autofokus der Canon EOS R5 ist ein echtes Highlight. Er reagiert sehr schnell und stellt sehr genau scharf. Besonders hilfreich ist aber die sehr genaue Motiverkennung, die beispielsweise Personen schon auf größere Entfernung erkennt, selbst dann, wenn die der Kamera den Rücken zudrehen.

Sobald ein Gesicht zu sehen ist, stellt die Kamera mit sehr hoher Trefferquote automatisch auf die Augen scharf – perfekt für Porträts. Das klappt nicht nur bei Menschen, sondern auch bei Tieren richtig gut.

Anders als bei anderen Herstellern muss sich der Fotograf dabei nicht entscheiden, ob die Kamera Menschen oder Tiere erkennen soll, sondern kann über das Menü festlegen, ob der Autofokus das eine oder das andere bevorzugt. Das erspart viel Umschalten, denn mit der Standardeinstellung (Menschen bevorzugen) erkennt die EOS R5 trotzdem Tiergesichter und -augen – es darf nur kein Mensch im Bild zu sehen sein, damit der Autofokus nicht auf ihn umschaltet.

Lesen Sie auch Systemkamera mit APS-C Wie gut ist das Nikon-Debüt mit dem Mini-Sensor?

Selbst den Fokusmesspunkt festlegen, ist bei der EOS R5 nur sehr selten nötig, aber wenn, dann klappt es über den eingebauten Autofokus-Joystick sehr schnell und sehr genau, da die Kamera stolze 5940 Messpunkte bietet. Wer den Messpunkt schnell verlegen will, drückt einfach den Joystick etwas stärker, wer besonders genau arbeiten will, etwas sanfter.

Der perfekte Autofokus also? Nicht ganz, bei der Schärfenachführung arbeitet der Autofokus nicht ganz so schnell und so präzise wie bei einer Topprofispiegelreflex, wenn sich das Motiv schnell bewegt – da bleiben die Canon EOS-1D X Mark III und die Nikon D6 weiter erste Wahl für Profifotografen.

WLAN und Bluetooth in Canon EOS R5 eingebaut

Gibt es sonst noch Verbesserungspotenzial? Ja, bei der Verbindung zwischen Kamera und Smartphone. Denn natürlich hat die Canon EOS R5 wie praktisch alle neuen Kameras Bluetooth und WLAN eingebaut, kann über die App Camera Connect (gibt es für Android und Apple) ferngesteuert werden und bietet dabei besonders viele Einstellmöglichkeiten.

Anzeige

Das Umschalten zu der dafür nötigen WLAN-Verbindung dauert aber ganz schön lange – mal schnell die Kamera per Smartphone auslösen, geht per Bluetooth viel schneller, nur halt ohne die Möglichkeit, die Kameraeinstellungen anzupassen.

Lesen Sie auch Test Detailreicher als Sony Alpha 7R IV ist noch keine Systemkamera

Über die App lassen sich auch die Ortsdaten in die Fotos der EOS R5 übertragen, allerdings mit zwei kleinen Haken: Zum einen muss die App immer laufen, wenn die Ortsdaten erfasst werden sollen, und das saugt den Akku des Smartphones schneller leer.

Zum anderen muss der Fotograf im Kameramenü in den GPS-Geräteinstellungen auf Smartphone umschalten (klappt nur bei laufender Smartphone-Verbindung). Sonst erwartet die EOS R5, dass die Ortsdaten von einem separaten GPS-Empfänger kommen.

Fazit: Beim Preis von rund 4400 Euro dürften einige Fotografen zucken – die Canon EOS R5 gehört zu den teuersten Systemkameras. Aber auch zu den besten: Die Fotos sind dank 45-Megapixel-Sensor extrem detailreich, die Videos stellen auch anspruchsvolle Profifilmer zufrieden: mit 8K-Videos, mit der Möglichkeit, im RAW aufzunehmen, und, und, und.

Neben der Bildqualität liefert die EOS R5 aber auch in allen anderen Testkategorien Topleistungen ab: mit sehr hohem Tempo, einem sehr scharfen Sucher oder einem sehr leistungsstarken Autofokus. Selbst Topspiegelreflexkameras sind da nur noch bei der Schärfenachführung besser. Macht in der Summe Platz eins der Bestenliste!

Stärken: sehr hohe Bildqualität bei Foto und Video, sehr schneller und vielseitiger Autofokus, sehr detailreicher Sucher, filmt in 8K, filmt in 4K mit bis zu 120 Bildern/Sec

Anzeige

Schwächen: hoher Preis

Testnote: gut (1,6)",Sven Schulz,1597395394,"Webwelt & Technik,Canon EOS R5 im Test",welt
So sichern Sie sich die Rente Ihres verstorbenen Ex-Partners,"Scheiden tut weh. Vor allem, wenn es ums Teilen der hart erarbeiteten Rentenansprüche geht. So mancher Geschiedene muss beim Versorgungsausgleich einen dicken Brocken seiner Anrechte auf Altersversorgung an die oder den Ex abtreten – und sich damit abfinden, im Ruhestand oft viele hundert Euro weniger auf dem Konto zu haben. Doch was, wenn der einstige Ehepartner stirbt? Wer nichts unternimmt, muss tatsächlich weiter Abzüge hinnehmen, für eine Tote oder einen Toten. Wer sich dagegen kümmert, kann Verlorenes zurückholen und bestenfalls für den Rest des Lebens eine volle gesetzliche wie betriebliche Rente oder Pension genießen. Auch Witwen aus zweiter Ehe müssen nicht akzeptieren, dass sie nicht die volle Witwenrente bekommen, obwohl die erste Ehefrau längst tot ist. Aber: Die Materie ist komplex. Auf eigene Faust lässt sich wenig ausrichten, wie Sabine Krebs betont, Rechtsanwältin und Rentenberaterin aus Celle. Doch die Rettung der verlorenen Ansprüche kann gelingen.",Berrit Gräber,1597394580,"Verbraucher,Versorgungsausgleich",welt
"Start-up entwickelt Superfood für Bienen, um sie resistenter zu machen","Die Biene stirbt. Doch welche genau? Im Gespräch mit einem Wildbienen-Experten und einer Hobby-Imkerin wollen wir klären, welche Biene tatsächlich vom Aussterben bedroht ist. Und was wir dagegen tun können.

Warum wir Wildbienen in der Stadt nicht retten können

Anzeige

Landwirte weltweit, deren Ernte besonders von der Tat- und Bestäubungskraft der Bienen abhängig ist, müssen sich in den kommenden Jahren auf eine immer stärker sinkende Bienenpopulation einstellen. Das bleibt nicht ohne Folgen. Die Öko- und Nahrungsmittelsysteme, die von ihrer Bestäubung abhängig sind, gehen zurück. Und das sind nicht wenige: Bienen sind für die Bestäubung von fast einem Drittel aller Nutzpflanzen weltweit verantwortlich.

Ein argentinisches Unternehmen hat es sich daher zur Aufgabe gemacht, die nahende „Beepokalypse“, wie es im Englischen heißt, aufzuhalten und stärkere und bessere Bienen zu züchten.

Dafür hat das Start-up Beeflow ein Superfood entwickelt. Es besteht aus einer speziellen nährstoffreichen Lösung, die das Immunsystem der Bienen stärken und ihnen mehr Ausdauer beim Fliegen bei niedrigen Temperaturen verleihen soll.

Passend zum Thema Das Bienen-Dilemma Warum wir Wildbienen in der Stadt nicht retten können

Quelle: Getty Images/Joao Paulo Burini

Anzeige

Laut dem CEO der Firma, Matias Viel, füttern Imker die Bienen etwa einmal pro Woche mit dem pflanzlichen Superfood, das aus Zucker, Wasser und einer geschützten, nicht genannten Zutat besteht.

Dank der Nährstoffzugabe sei es gelungen, dass Bienen bis zu sieben Mal mehr Flüge durchführen als normal und im Schnitt die doppelte Menge an Pollen transportieren, so der CEO.

Im Februar 2019 begann das zweijährige Unternehmen, das Superfood bei einem großen kalifornischen Mandelbauer zu testen. Auch Mandelbauern kämpfen mit einer sinkenden Bienenpopulation. Deshalb mieten sie im Allgemeinen zwischen zwei bis zweieinhalb Bienenstöcke pro Hektar für die Bestäubungssaison. Die Kosten für einen Bienenstock sind in diesem Jahr jedoch von 50 Dollar pro Bienenstock auf etwa 230 Dollar gestiegen, so Viel. Erschwerend komme hinzu, dass Mandeln nur ein kurzes Bestäubungsfenster von etwa zwei bis drei Wochen haben. Herrschen genau in dieser Zeit niedrige Temperaturen, wirkt sich das negativ auf die Ernte aus.

Anzeige

„Wenn Sie während dieser Zeit schlechtes Wetter oder niedrige Temperaturen haben und eine geringe Anzahl von Bienenaktivitäten, wird die Ernte nicht gut ausfallen. Wir glauben, dass gesündere Bienen mit einem stärkeren Immunsystem besser arbeiten und bessere Leistungen erzielen können“, sagte Viel gegenüber CNN.

Quelle: Getty Images/Sumiko Scott

Die Ergebnisse des Mandelversuchs werden noch analysiert. Das Team hat die Wirkung des Superfoods in Argentinien aber bereits getestet. Dort konnten die Ernteerträge für Mandeln, Heidelbeeren, Äpfel und Kiwis um bis zu 90 Prozent gesteigert werden. Das Unternehmen hat auf einer Farm in Oregon im letzten Winter auch die Heidelbeerernte um 25 Prozent gesteigert und die Größe der Früchte um 22 Prozent erhöht.

Über eine automatisierte Methode zur Messung der Leistung einer Biene verfügt das Team allerdings noch nicht. Was die Entwickler aber feststellten: Das Superfood ermöglicht es den Bienen, auch Zielkulturen zu bestäuben, von denen sie sonst nicht unbedingt angezogen werden.

Anzeige

Im Juli erhielt Beeflow eine Investition in Höhe von drei Millionen Dollar. Das Unternehmen teilte CNN mit, es plane, mit diesem Geld ein Hauptquartier in Los Angeles zu eröffnen und in den USA zu expandieren.",Julia Haase,1597394460,"kmpkt,„Beeflow“",welt
Kann dieses Molekül den Klimawandel bremsen?,"Wolken reflektieren Sonnenlicht ins All. Damit wirken sie der Erderwärmung entgegen. Nun haben Forscher ein Katalysator-Molekül entdeckt, das in der Atmosphäre die Entstehung von Wolken beschleunigt.

Anzeige

Die größte Unsicherheit bei der Vorhersage des künftigen Weltklimas wird von Wolken verursacht. Wolken können das Licht der Sonne direkt ins All zurückschicken. Dieses reflektierte Licht trägt dann nicht mehr zur Erderwärmung bei. Die Frage ist nur: Werden wir in Zukunft eher mehr oder weniger Wolken haben? Und kann eine größere Wolkenbedeckung den Trend der globalen Erwärmung bremsen?

Lange bekannt ist, dass Wolken aus kleinsten Wassertröpfchen entstehen, die sich in der Atmosphäre an winzigen Partikeln bilden – den sogenannten Aerosolen. Viele dieser Aerosole sind menschengemacht und gelangen aus Industrieschornsteinen in die Atmosphäre.

Nach Einschätzung von Klimaforschern wäre der bisherige Temperaturanstieg noch größer ausgefallen, wenn nicht Aerosole die Wolkenbildung stimulieren und damit in gewisser Weise die Erde kühlen würden.

Anzeige

Nun haben Wissenschaftler aus Frankreich, Japan und Österreich einen bislang unbekannten Effekt entdeckt, der die Bildung von Wolken sehr stark fördert. In der Fachzeitschrift „PNAS“ berichten sie, dass sogenannte Pyridinium-Ionen die Entstehung von Wassertropfen an Aerosolpartikeln stark beschleunigen.

Lesen Sie auch Glossar zur Erderwärmung Klimawandel verstehen – das müssen Sie wissen

Lesen Sie auch Brand Story Naturschutz Er schützt den Urwald mit alten Handys Anzeige

Damit kommt diesen Ionen eine große Bedeutung im Verständnis des Klimawandels zu. Pyridin ist ein ringförmiges Molekül aus Kohlenstoffatomen, wobei ein Kohlenstoffatom durch ein Stickstoffatom ersetzt ist. Beim Pyridinium-Ion ist eine positive elektrische Ladung an diesem Stickstoffatom lokalisiert.

Quelle: Infografik WELT

Dem Wachstum eines Wassertröpfchens wirkt ein Effekt entgegen: An der Oberfläche des Tropfens verdampfen immer wieder auch Wassermoleküle, sodass der Tropfen dadurch an Masse verliert. Bei Experimenten in einem Labor der Universität Lyon stellten die Forscher fest, dass die Anwesenheit von Pyridinium-Ionen das Verdampfen von Wasser am Tropfenrand behindert. Dies bedeutet, dass Pyridin das Wachstum von Wasseraggregaten in der Atmosphäre und damit die Entstehung von Wolken fördert.

Anzeige

Die Wissenschaftler zeigen sich von ihrem Forschungsergebnis überrascht. Dass Pyridinium-Ionen bislang nicht in Wassertropfen der Atmosphäre nachgewiesen wurden, hängt nach Einschätzung der Forscher möglicherweise damit zusammen, dass dieses Molekül nicht in den Tropfen verbleibt, sondern diese wieder verlässt.

„Pyridin ist in den allerersten Phasen der Bildung von Nanotropfen beteiligt. Wenn der Wassertropfen wächst, wird das Pyridin eventuell wieder freigesetzt“, erklärt Co-Autor Professor Tilmann Märk von der Universität Innsbruck, „dann kann das Molekül erneut eingreifen, um einen nächsten Tropen zu bilden.“ Das Pyridin wirkt also wie ein Katalysator, der etwas stimuliert, dabei aber selber nicht verbraucht oder verändert wird.

Pyridin entsteht bei der Verbrennung von Biomasse, also beispielsweise beim Abbrennen von Regenwald. Weitere Pyridin-Quellen sind Autoabgase und auch Tabakrauch. Die Lebensdauer von Pyridin-Molekülen in der Atmosphäre schätzen die Forscher auf rund eineinhalb Monate.

Lesen Sie auch Klimaneutralität „Die Grundidee der Energiewende ist absolut unsinnig“

Anzeige

Die neuen Erkenntnisse zeigen, wie kompliziert die atmosphärischen Vorgänge bei der Entstehung von Wolken sind, die das Erdklima beeinflussen können. Andere Forschungsarbeiten hatten bereits einen Einfluss der kosmischen Strahlung auf die Bildung von Wolken gezeigt.

Noch ist es zu früh, aus der Messung des Pyridin-Effekts konkrete Schlussfolgerungen für kommende Klimaentwicklungen zu ziehen. Klar ist indes, dass man auch noch diese bislang unbekannte Wechselwirkung in den Klimamodellen wird berücksichtigen müssen.

Man könnte spekulieren, dass sich Pyridin möglicherweise für sogenanntes Geo-Engineering eignen könnte. Durch absichtliches Einbringen dieser Substanz in die Atmosphäre könnte gezielt die Bildung von Wolken stimuliert und so die Erde gekühlt werden. Doch bevor es zu einer solchen Anwendung kommen könnte, wäre noch viel Forschungsarbeit zu leisten. Insbesondere müssten gefährliche Nebenwirkungen ausgeschlossen werden.

Dieser Artikel wurde erstmals am 21. Oktober 2019 veröffentlicht.",Norbert Lossau,1597394220,"Wissenschaft,Wolkenbildung",welt
„Das ist besorgniserregend und wir sollten diese Zahlen ernst nehmen“,In Deutschland steigt die Zahl der Corona-Infektionen flächendeckend stark an. Nur noch 46 der 401 Landkreise meldeten in den vergangenen sieben Tagen keine Neuinfektionen. Die Labore arbeiten am Anschlag.,,1597393856,"Panorama,Corona-Fälle steigen wieder",welt
"Halbfinal-Einzug ""größter Erfolg der Vereinsgeschichte""",,,1597393655,"Sport,Markus Krösche",welt
