title,text,author,published,tags,source
Infiziert? Rückkehrer müssen Corona-Test machen,,,1596879805,"Panorama,Corona-Risikogebiete",welt
"Was passiert, wenn Trump das Wahlergebnis nicht anerkennt?",,,1596879649,"Politik,US-Präsidentenwahl",welt
"Schule auf, Schule zu – Corona legt Schulbetrieb lahm",,,1596879590,"Panorama,Mecklenburg-Vorpommern",welt
Werbung auf Instagram –SPD-Influencerin Blaudszun wehrt sich gegen Kritik,"Die 19-jährige Jurastudentin Lilly Blaudszun ist das junge Gesicht der SPD in sozialen Netzwerken. Ein Werbe-Posting auf Instagram hat ihr Kritik eingebracht – jetzt wehrt sie sich gegen die Vorwürfe.

Anzeige

Die 19-jährige Lilly Blaudszun gilt als Nachwuchshoffnung der SPD. Generalsekretär Lars Klingbeil bezeichnete sie einmal als „authentisches Sprachrohr der jungen Generation in unseren Reihen“.

Jetzt wehrt sich die Influencerin gegen Kritik, nachdem sie auf Instagram Werbung für einen Laptop der Marke Medion gemacht hat. Ein Nutzer warf ihr vor: „Schlechte SPD-Wahlergebnisse explained in a Nutshell: Wasser predigen, währenddessen man Wein trinkt und über Themen redet, die nur im Elfenbeinturm relevant sind.“ Ein anderer ätzte: „Und dann über Philipp Amthor aufregen.“

Im Interview mit dem Studentenmagazin „Zeit Campus“ wies Blaudszun am Samstag die Vorwürfe zurück. „Diese Kritik finde ich lächerlich. Und besonders lächerlich finde ich es, wenn jetzt Vergleiche zu Philipp Amthor gezogen werden, dem vorgeworfen wird, sein Amt ausgenutzt zu haben“, sagte die 19-Jährige. „Ich habe kein Amt und kein Mandat, bin niemandem gegenüber verpflichtet.“ Der 27-jährige CDU-Bundestagsabgeordnete Philipp Amthor aus Greifswald war wegen Lobbyismusvorwürfen in die Kritik geraten, der Bundestag stellte ein Prüfverfahren gegen ihn jedoch ein.

Lesen Sie auch Lilly Blaudszun, 18 „Dann denke ich mir oft: krass“

Anzeige

Sie habe den Laptop getestet, bevor sie den Werbevertrag unterschrieben habe, erklärte Blaudszun weiter. Dafür werben wollte sie, weil das Gerät ihrer Meinung nach „eine gute, günstige Möglichkeit für alle Studierenden“ sei. Ihr Honorar habe sie an das Bündnis Seebrücke, das sich für Seenotretter von Migranten im Mittelmeer einsetzt, gespendet. Die Spende hatte sie bereits zuvor auf ihrem Instagram-Account öffentlich gemacht.

An dieser Stelle finden Sie Inhalte aus Instagram Um mit Inhalten von Instagram und anderen sozialen Netzwerken zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Soziale Netzwerke aktivieren

Im Gespräch mit „Zeit Campus“ sagte Blaudszun, sie könne sich weitere Werbeposts auf ihrem Instagram-Account vorstellen. „Wenn das Produkt zu mir passt, dann ja.“ Über ihre Auftritte in den sozialen Medien erklärte sie: „Instagram ist für mich privat, da darf ich machen, was ich will. Dass ich bei der SPD angestellt bin, ist für mich ein anderes Paar Schuhe.“

Blaudszun arbeitet im Social-Media-Team von Mecklenburg-Vorpommerns Ministerpräsidentin Manuela Schwesig (SPD). Im vergangenen Jahr hatte Brandenburgs Ministerpräsident Dietmar Woidke sie für sein Wahlkampfteam engagiert.

Anzeige

Bereits zuvor war die Jurastudentin aus Ludwigslust in Mecklenburg-Vorpommern in den sozialen Netzwerken mit ihrer Mischung aus Polit-Informationen und Nachrichten aus ihrem Privatleben aufgefallen. Ihren Instagram-Account haben rund 13.800 Menschen abonniert. Auf Twitter folgen ihr rund 27.250 Menschen.","'Thomas Vitzthum', 'Thomas Schmid', 'Nicola Erdmann', 'Silvia Ihring'",1596879433,"Politik,„Lächerlich“",welt
Kinder – ja oder nein? Darum geht es bei dieser Frage wirklich,"Die Frage, ob man sich als Paar ein Kind wünscht, ist oft nicht so leicht zu beantworten. Manchmal ist man sich nicht einig, manchmal klappt es nicht so, wie erwartet. Es hilft, sich bewusst zu machen, worum es am Ende wirklich dabei geht.","Elke Naters, Sven Lager",1596878713,"Panorama,Partnerschaftskolumne",welt
Edmonton Oilers in den NHL-Play-offs ausgeschieden,"Ex-Bundestrainer Marco Sturm hält Leon Draisaitl für den ""wahrscheinlich besten Spieler dieser Saison"" in der besten Eishockey-Liga der Welt. Ein ähnliches Potenzial traut der Assistenztrainer der L.A. Kings auch Tim Stützle zu. Der 18-Jährige gilt als eines der größten Talente seiner Altersgruppe in Europa.

Anzeige

Eishockey-Star Leon Draisaitl ist mit seinen Edmonton Oilers überraschend schon in der Qualifikationsrunde zu den NHL-Play-offs ausgeschieden. Der Kandidat für die beiden wichtigen Auszeichnungen als MVP und als herausragender Spieler der Hauptrunde verlor mit den Oilers am Freitag (Ortszeit) Spiel vier gegen die Chicago Blackhawks 2:3 und die Best-of-five-Serie damit 1:3.

„Wir haben zu viele kleine Fehler gemacht, die einfach nicht passieren dürfen zu dieser Zeit des Jahres. Wir haben nie zu unserem Spiel gefunden. Das ist offensichtlich sehr frustrierend“, sagte Draisaitl.

Jonathan Toews von den Chicago Blackhawks (l.) und Leon Draisaitl im Duell. Am Ende brachte all der Einsatz nichts - die Edmonton Oilers sind ausgeschieden Quelle: AFP/JEFF VINNICK

Als Fünfter der Western Conference waren die Oilers gegen die auf Rang zwölf stehenden Blackhawks trotz der langen Corona-Pause favorisiert. Mancher Experte sah das Team unter anderem wegen der starken Angreifer um Draisaitl und Connor McDavid sogar mit Chancen auf den Stanley Cup. „Es ist frustrierend“, sagte Trainer Dave Tippet. „Es ist frustrierend, weil wir mehr erwartet haben.“

Chancen einfach nicht genutzt

Anzeige

Die Oilers führten schon nach 45 Sekunden durch ein Tor von Josh Archibald, gerieten aber noch vor dem Ende des ersten Drittels in Rückstand. Nach dem Ausgleich im zweiten Drittel durch Ryan Nugent-Hopkins traf Dominik Kubalik 11:30 Minuten vor dem Ende zur erneuten Chicago-Führung. Edmonton erholte sich von dem 2:3 nicht mehr und konnte auch keines seiner insgesamt fünf Powerplays für einen Treffer nutzen. „Wir hatten definitiv genug Chancen, um in dieses Spiel zurückzukommen“, sagte der 24 Jahre alte Draisaitl.

Lesen Sie auch Eishockey Starkes, emotionales Zeichen gegen Rassismus zum Restart der NHL

Die NHL hatte ihre Hauptrunde wegen der Corona-Krise abgebrochen. Statt der üblichen 16 Mannschaften waren 24 Teams für die erweiterten Play-offs qualifiziert, die in zwei Blasen in Edmonton und Toronto ausgetragen werden. Die besten vier Teams der Western und Eastern Conference sind für die regulären Play-offs qualifiziert. Die anderen Teams müssen sich in der Qualifikationsrunde beweisen. Die Oilers haben das nun überraschend nicht geschafft.",,1596878204,"Sport,Frust bei Draisaitl",welt
CDU-Politiker verteidigt Vaatz' Polizei-Kritik,"Die Teilnehmerzählung der Polizei bei der Berliner Corona-Demo erinnerte ihn an DDR-Methoden: Mit diesem Vergleich erregte CDU-Fraktionsvize Vaatz viel Kritik. Nun verteidigt ihn ein Fraktionskollege. Vaatz habe „in ein Wespennest gestochen“.

Nach einer Corona-Demonstration fühlte sich der CDU-Fraktionsvize Arnold Vaatz an die Methoden der DDR erinnert. Dabei bezog er sich auf die unterschiedlichen Teilnehmerzahlen der Veranstalter und der Polizei.

Kritik nach DDR-Vergleich – Polizei vs. Vaatz

Corona-Demo in Berlin

Anzeige

Der CDU-Bundestagsabgeordnete Axel Fischer hat seinen Fraktionskollegen Arnold Vaatz gegen Angriffe von links verteidigt, nachdem dieser der Berliner Polizei DDR-Methoden vorgehalten hatte. Fischer sagte der Deutschen Presse-Agentur: „Arnold Vaatz kenne ich seit über 20 Jahren als engagierten Kämpfer für Freiheit, Demokratie und Menschenrechte. Wenn er, als früherer Bürgerrechtler in der DDR, sich so klar äußert, nehme ich das sehr ernst.“

Fischer forderte die „gesammelten linken Parteien“ auf, sich „sachlich mit Vaatz‘ Argumenten auseinanderzusetzen, statt jetzt pauschal und unkonkret herumzumäkeln. Es scheint, als habe er mit seiner Kritik in ein Wespennest gestochen und das nicht nur bei der rot-rot-grünen Berliner Regierung.“

Am vergangenen Samstag hatten in Berlin Tausende für ein Ende der Corona-Auflagen demonstriert. Während die Organisatoren von bis zu 1,3 Millionen Teilnehmern sprachen, waren nach Angaben der Polizei allenfalls 20.000 Menschen gekommen. In einem Gastbeitrag für die Plattform „Tichys Einblick“ hatte Unionsfraktionsvize Vaatz daraufhin kritisiert, die „dreiste Kleinrechnung der Teilnehmerzahlen“ entspreche dem Vorgehen der DDR-Medien bei den Demonstrationen im Herbst 1989.

Lesen Sie auch Protest gegen Corona-Maßnahmen Sie nennen sich die „zweite Welle“

Anzeige

Auch lege man bei der Demonstration vom vergangenen Samstag in Berlin und bei den Anti-Rassismus-Demonstrationen „Black Lives Matter“ unterschiedliche Maßstäbe an, ärgerte sich Vaatz. Beide hätten mit Blick auf die mögliche Verbreitung des Coronavirus eine vergleichbare Gefährdungslage. Doch die erste werde „allgemein verflucht“, die zweite „allgemein gelobt und toleriert“.

Lesen Sie auch Corona-Demo in Berlin Die Freiheit, die sie meinen, ist rücksichtslos

Ein Sprecher der Unionsfraktion hatte sich von Vaatz‘ Artikel distanziert. Die Meinung von Vaatz „spiegelt nicht die Haltung der Unionsfraktion im Deutschen Bundestag wider“. SPD und Grüne hatten deutliche Kritik an dem Unionsfraktionsvize geübt.

Polizeigewerkschaft ist empört

Die deutschen Polizeigewerkschaften wiesen am Freitag den Vorwurf zurück, die Teilnehmerzahl bei der Corona-Demonstration sei mit DDR-Methoden kleingeredet worden. Die Gewerkschaft der Polizei (GdP) warf Unionsfraktionsvize Vaatz ihrerseits Populismus vor, die Deutsche Polizeigewerkschaft (DPolG) bezeichnete den Vergleich als „bösartig und niederträchtig“.","'Philip Cassier', 'Deniz Yücel', 'Ulf Poschardt'",1596876369,"Deutschland,Corona-Demo in Berlin",welt
Italien schnürt nächstes Milliarden-Hilfspaket,"Maskenpflicht und Abstandsregeln: Italien hat die Corona-Maßnahmen bis zum 7. September verlängert. Außerdem will die Regierung die angeschlagene Wirtschaft mit weiteren Finanzhilfen stützen.

Anzeige

Die italienische Regierung hat ihre Anti-Corona-Maßnahmen bis zum 7. September verlängert. Das Kabinett von Ministerpräsident Giuseppe Conte verabschiedete am Freitagabend ein Dekret, in dem unter anderem die Maskenpflicht in geschlossenen, öffentlichen Räumen und die Abstandsregeln weiter vorgeschrieben werden. Auch größere Menschenansammlungen bleiben verboten.

Regierungschef Conte sprach von „ausgewogenen Maßnahmen, die der aktuellen Situation gerecht werden“. Italien, das im Frühjahr eines der am stärksten von der Corona-Pandemie heimgesuchten Länder war, habe sich dank der Maßnahmen gefangen. Man müsse aber wachsam bleiben, betonte Conte.

Die Regierung stimmte außerdem für weitere vorsichtige Lockerungen etwa im Tourismus. Kreuzfahrtschiffe dürfen ab dem 15. September wieder auslaufen. An Bord müssen strenge Hygiene-Regeln eingehalten werden. Von 1. September an dürfen Messen wieder öffnen – Aufbau und Organisation der Ausstellungen kann sogar ab sofort beginnen. Für den Tourismus und die Kultur wurden weitere drei Milliarden Euro bereitgestellt.

Lesen Sie auch Italexit Finanzhilfe nehmen, EU baden gehen lassen

Anzeige

Darüber hinaus brachte die Ministerrunde weitere Finanzhilfen auf den Weg. Der Umfang des neuen Konjunkturpaketes beträgt 25 Milliarden Euro. Es umfasst mehr als hundert Einzelmaßnahmen, darunter Steuererleichterungen. „Wir schützen Jobs, wir unterstützen Arbeitnehmer, wir reduzieren die Steuerlast, wir helfen den Regionen“, sagte Conte.

Der Plan sieht größere Steuervorteile für die wirtschaftlich schwächeren Regionen im Süden des Landes vor. Dadurch solle die dortige Infrastruktur gestärkt werden, sagte Conte. Die finanzielle Nothilfe für bedürftige Familien in Höhe von monatlich 400 bis 800 Euro soll nach den Plänen der Regierung verlängert werden. 500 Millionen Euro sind zur Vergütung von Überstunden von Angestellten im Gesundheitswesen vorgesehen. Das Konjunkturpaket muss nun noch vom Parlament beschlossen werden.

Italien zählt zu den am schwersten von der Corona-Pandemie betroffenen Ländern Europas. Fast 250.000 Menschen steckten sich dort mit dem neuartigen Virus an. Mehr als 35.000 Infizierte starben. Ein mehr als zweimonatiger Lockdown führte zu einem massiven Wirtschaftseinbruch.","'Virginia Kirst', 'Don Alphonso', 'Dirk Schümer'",1596876137,"Ausland,Coronakrise",welt
„Bayern ist der Favorit auf den Gewinn der Champions League“,"Die Bayern steigen in die Champions League ein und glauben an das Triple. Dass Experten ihnen realistische Chancen einräumen, ist ein Verdienst von Trainer Flick. Der muss gegen Chelsea aber erst einmal improvisieren.

Anzeige

Freitagvormittag kam an der Säbener Straße plötzlich Hektik auf. Die Mannschaft des FC Bayern absolvierte bei herrlichem Sommerwetter ihr Abschlusstraining vor dem Rückspiel des Achtelfinals in der Champions League gegen den FC Chelsea in München heute (21.00 Uhr/Sky), als eine Drohne über den Rasen schwebte. Spione des Gegners aus London? Die Ordnungskräfte des deutschen Fußball-Rekordmeisters stellten die Drohne sicher, der Klub verständigte die Polizei. Ein Zaungast hatte sie steigen lassen.

Die Neugier ist eben sehr groß. Wie fit sind die Bayern? Wie wird Trainer Hans-Dieter „Hansi“ Flick sie gegen den englischen Klub spielen lassen? Nach rund fünf Monaten Pause in der Königsklasse ist es die erste Partie für den Meister. In der Vorsaison schieden die Bayern bereits im Achtelfinale gegen den FC Liverpool aus. Der Verein lechzt danach, es endlich wieder mal ins Finale zu schaffen. Nach dem 3:0 im Hinspiel sollte der Einzug ins Viertelfinale lediglich eine Formsache sein. „Die Jungs brennen“, sagte Sportvorstand Hasan Salihamidzic.

Lesen Sie auch FC Bayern München So entwickelte sich Salihamidzic vom Bürschchen zum Boss

Sein neuer Vorstandskollege Oliver Kahn, der nach zwölf Jahren als ZDF-Experte künftig nicht mehr für den TV-Sender tätig sein wird, arbeitet gerade an einem Strategiepapier. Darin gibt er in Absprache mit Präsident Herbert Hainer das Ziel vor, langfristig zu den besten fünf Mannschaften Europas zu zählen. Für den Verein ist die Champions League wirtschaftlich enorm wichtig, auch die reichen Bayern hat die Corona-Pandemie finanziell getroffen. Und für Flick bietet der Wettbewerb eine historische Chance.

Lesen Sie auch „FC Bayern 2030“ Das steht in Kahns Strategie-Papier

Anzeige

Bei den Münchnern ist der 55-Jährige zum ersten Mal Cheftrainer im Profifußball. Erst im vergangenen November übernahm er das Amt von Niko Kovac, gewann gleich in seiner ersten Saison das Double. Er stellte zahlreiche Rekorde auf, seit Anfang Februar hat seine Mannschaft jedes ihrer Spiele gewonnen.

„Wir sind hungrig, voll im Saft“

Flick erhält zu Recht viel Lob, doch in München ist allen klar: International hat er seine Bayern noch nicht auf die ganz großen Spiele vorbereiten müssen. In der Vorrunde 6:0 bei Roter Stern Belgrad und 3:1 gegen Tottenham Hotspur, dazu der Hinspielsieg gegen Chelsea – beachtlich, aber Flick hatte eben noch keine Partien gegen die absoluten Topklubs der europäischen Spitze. Der FC Barcelona, Manchester City – sie könnten in den kommenden Runden die Gegner sein. Wahrlich keine einfachen Aufgaben.

Sollte Flick nach wenigen Monaten als Cheftrainer das Triple schaffen, würde er Fußball-Geschichte schreiben. Es wäre erst das zweite in der Vereinshistorie. „Wir sind hungrig, voll im Saft und gut vorbereitet“, sagte Kapitän Manuel Neuer am Freitagmittag. „Wir haben ein gutes Polster, dürfen aber nicht leichtfertig sein.“

Meisterschale und DFB-Pokal hatte Flick schon in Händen, bald auch die Champions-League-Trophäe? Quelle: Getty Images,/Alexander Hassenstein

Anzeige

Auch Flick betont in diesen Tagen immer wieder, dass man nicht den zweiten vor dem ersten Schritt machen dürfe. Was sich anhören mag wie eine Phrase, ist eine nachvollziehbare Warnung an die Mannschaft – immerhin haben die Bayern seit dem gewonnenen Finale im DFB-Pokal Anfang Juli kein Pflichtspiel bestritten, einzig ein Test gegen Olympique Marseille und interne Partien standen auf dem Programm.

Timo Werner ist nicht spielberechtigt

Chelsea hingegen ist im Rhythmus. Das Team von Trainer Frank Lampard spielte am vergangenen Wochenende das Finale des FA Cups, verlor 1:2 gegen den FC Arsenal. Die Saison in der Premier League ist erst vor zwei Wochen zu Ende gegangen, Chelsea schloss die Spielzeit als Tabellenvierter ab.

Lesen Sie auch FC Chelsea Großangriff auf den FC Liverpool

Die Zugänge Timo Werner von RB Leipzig und Hakim Ziyech von Ajax Amsterdam sind gegen die Bayern nicht spielberechtigt, der ehemalige Dortmunder Christian Pulisic und Kapitän César Azpilicueta fehlen den Londonern verletzt. „Chelsea hat nach anfänglichen Schwierigkeiten eine herausragende Saison gespielt“, sagte Flick.

Lesen Sie auch Duell mit Manchester City An Kroos ist die bitterste Erfahrung seiner Zeit bei Real abgeperlt

Anzeige

Vom Viertelfinale an gibt es jeweils nur noch eine Partie, das Rückspiel entfällt. Flick nennt die Endrunde in Lissabon „Power-Turnier“. Er hat Erfahrungen mit Turnieren, war acht Jahre Assistent von Bundestrainer Joachim Löw und gewann mit der deutschen Auswahl 2014 in Brasilien die WM.

„Ich erwarte intensive und schnelle Spiele“

Erik Meijer wird die Finalrunde der Champions League für Sky analysieren. Der Experte, der einst für den FC Liverpool stürmte, sagte WELT: „Es wird auf jeden Fall ein total anderer Wettbewerb. Die Mannschaften haben nur kurze Pausen zwischen den Spielen. Es wird spannend sein zu sehen, wer im August noch fit genug für den Titel ist. Vom Viertelfinale an ohne Rückspiel – da wird es nicht so sehr um die Taktik gehen wie sonst.“

Die Mentalität und die Fitness werden den Ausschlag geben. „Ich erwarte intensive und schnelle Spiele“, betonte Meijer. „Es war eine lange Saison, viele Spieler haben knapp 60 Partien in den Beinen. Man wird sehen, wer richtig beißen kann, um am Ende die Trophäe hochzuhalten.“

Nicht nur Erik Meijer sieht die Bayern als Favorit, auch Jürgen Klopp glaubt an die Münchner Quelle: Getty Images/Christof Koepsel

Er habe zuletzt einen FC Bayern gesehen, der vor Selbstvertrauen nur so strotze. „Sie sind damals sehr gut aus der Corona-Pause gekommen und waren zuletzt in Topform. Ihre Power im Spiel nach vorn war unglaublich. Für mich sind sie der Favorit auf den Gewinn der Champions League.“ Auch Liverpools Trainer Jürgen Klopp sieht die Bayern als Favorit, mit Manchester City.

Liverpool ist bereits ausgeschieden, vieles scheint optimal für die Bayern zu laufen. Dass ihnen wieder realistische Chancen auf den Titel eingeräumt werden, ist vor allem ein Verdienst Flicks. Er hat die Spieler zu einer Mannschaft geformt, die eine enorme Energie ausstrahlt. Nun kann er seine Saison krönen.

Thiagos letzte Auftritte

Doch wie Lampard hat auch Flick Personalsorgen. Rechtsverteidiger Benjamin Pavard fällt mit einem Bänderriss bis zum Saisonende aus, seine Position wird Joshua Kimmich einnehmen. Für Kimmich rückt Thiago ins Mittelfeld. Der Spanier spielt in der Restsaison der Champions League zum letzten Mal für die Bayern, will den Klub nach sieben Jahren verlassen. Auch David Alaba liebäugelt mit einem Wechsel, die Bayern hoffen aber, seinen im Sommer 2021 endenden Vertrag verlängern zu können. „Thiago ist ein wertvoller Spieler, er kann der Motor für unser Spiel sein“, sagte Kapitän Neuer.

Sollten sich die Bayern für das Viertelfinale qualifizieren, fliegen sie Sonntag nach Portugal – aus Hygienegründen im Privatjet. In Lagos würden sie in dem Fall ein Trainingslager beziehen und sich dort vier Tage auf die kommende Aufgabe vorbereiten. Nach den Tagen an der Algarve würden die Münchner nach Lissabon reisen. Ihr Viertelfinale würde am Freitag im Estádio da Luz, dem Stadion Benficas, ausgetragen werden. Das Finale steigt am 23. August.

Lesen Sie auch Ilkay Gündogan „Sané fehlt mir, nicht nur als Mitspieler“

Anzeige

Im Klub sind sie sicher, dass Flicks Ansprachen die Mannschaft in dieser so besonderen Saison weit tragen können. Gegen Chelsea und in möglichen weiteren Partien der Königsklasse wird es vor allem auf die Spieler ankommen, die unter ihm aufblühen: Jungstar Alphonso Davies und die wieder formstarken Weltmeister Jérôme Boateng und Thomas Müller, der gegen Chelsea sein 112. Spiel in der Champions League bestreitet. Der 30-Jährige stellt damit eine Bestmarke auf. Mit einem Einsatz würde Müller mit dem früheren Bayern-Kapitän Philipp Lahm gleichziehen. International ist Iker Casillas, der ehemalige Torhüter von Real Madrid, mit 177 Spielen die Nummer eins der Rangliste.

Lesen Sie auch Nadals Trainer Mit diesen sieben Regeln spielen Sie besser Tennis

Müllers angeschlagener Offensivpartner Kingsley Coman fällt gegen Chelsea aus. Das könnte die große Chance für Philippe Coutinho sein. Der Brasilianer blieb bislang hinter den Erwartungen zurück und hätte nicht von Beginn an gespielt, wäre Coman gesund. „In Philippe und Ivan Perisic haben wir zwei Optionen“, sagte Flick. Und lobte Coutinho. „Er ist in sehr guter Form und hat physisch gut gearbeitet. Ich mag ihn als Fußballer sehr.“

Die Geschichte spricht klar für Flick und seine Bayern. In der Champions League konnte sich noch keine Mannschaft nach einem 0:3 im Hinspiel im eigenen Stadion für die nächste Runde qualifizieren.",Julien Wolff,1596875950,"Sport,Rückspiel gegen Chelsea",welt
US-Geheimdienst warnt vor ausländischer Wahlbeeinflussung,,,1596875653,"Politik,China, Iran und Russland",welt
