title,text,author,published,tags,source
Bundestag streitet über Corona-Maßnahmen,,,1601449104,"Deutschland, Generaldebatte",welt
Wie will dieser Biden das straffe Pensum eines Präsidenten durchhalten?,,Daniel Friedrich Sturm,1601443567,"US-Wahl, US-Fernsehdebatte",welt
Die eigentlich Schlammschlacht beginnt jetzt – im Internet,"Anzeige

Weniger als 20 Minuten nach Beginn verwandelte sich die Debatte in eine Schlammschlacht – auf der Bühne und in den sozialen Medien. Die beiden US-Präsidentschaftskandidaten streiten. „Hältst du jetzt die Klappe, Mann“, fährt Joe Biden Präsident Donald Trump an. Seine Anhänger feiern ihn dafür im Netz. Biden „spricht aus, was alle denken“, schreibt eine Userin. „Brauche das auf ’nem T-Shirt“, twittert eine andere.

An dieser Stelle finden Sie Inhalte aus Twitter Um mit Inhalten aus Twitter und anderen sozialen Netzwerken zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Soziale Netzwerke aktivieren

Trump-Unterstützer derweil verachten den Demokraten für seine Worte. „,Ich werde diese Frage nicht beantworten. Hältst du jetzt den Mund?‘ – Bidens gesamte Kampagne zusammengefasst in zwei Sätze“, spottet Sean Davis, Co-Gründer des konservativen Online-Magazins „The Federalist“. Eine „Schande, dem Präsidenten der Vereinigten Staaten so etwas zu sagen“, entrüstet sich ein anderer.





Anzeige

„Wie die Debatte interpretiert wird, ist definitiv wichtiger als die Debatte selbst“, sagt Darrell M. West, Direktor für Governance-Studien an der Brookings Institution, zu WELT – allein deshalb, weil die Berichterstattung und die Lesart in den sozialen Medien deutlich mehr Menschen erreicht als das Fernsehduell selbst.

„In 47 Monaten habe ich mehr geschafft als du in 47 Jahren“

Die meisten Amerikaner haben sich zwar schon entschieden, für welchen Kandidaten sie ihre Stimme abgeben wollen. Doch immerhin sechs Prozent sagten im Vorfeld der Debatte, sie würden an jenem Dienstagabend zusehen, weil sie sich noch nicht für einen der beiden Kandidaten entschieden hätten.

Es komme nun vor allem auf jene unentschlossenen Wähler an, sagte Perry Bacon bei einem Politikgespräch der Plattform FiveThirtyEight. „Diese Leute werden nicht unbedingt die Debatte einschalten“, so Bacon, „aber sie werden sehen, welche zwei, drei Momente immer wieder auf Facebook gespielt und in den sozialen Medien geteilt werden.“

Lesen Sie auch Trump oder Biden Das müssen Sie zur US-Wahl 2020 wissen

Anzeige

Der Hältst-du-jetzt-die-Klappe-Mann-Moment ist so einer. Schon kursieren Videoschnipsel, in dem Biden diesen Satz in Dauerschleife sagt. „Neuer Klingelton“, kommentiert ein Unterstützer darunter.

Ein anderer ist der, in dem Trump Biden angreift: „In 47 Monaten habe ich mehr geschafft als du in 47 Jahren.“ Trumps Mitarbeiter posteten einen Clip dieses Moments mit dem Twitter-Account des Präsidenten. „Fall abgeschlossen“, schreibt Trumps ehemalige Botschafterin bei den Vereinten Nationen, Nikki Haley.

Auch ein Streitpunkt: der Moderator, Chris Wallace.

Lesen Sie auch Chris Wallace Der mächtigste Journalist Amerikas

An dieser Stelle finden Sie Inhalte aus Twitter Um mit Inhalten aus Twitter und anderen sozialen Netzwerken zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Soziale Netzwerke aktivieren

Anzeige

Immer wieder muss der Fox-News-Journalist die Debattierenden zur Ordnung rufen, wenn sie sich gegenseitig unterbrechen. Als Trump Einspruch erhebt, erwidert Wallace: „Offen gesprochen, haben Sie häufiger unterbrochen.“ Trumps Fans sind empört.

Quelle: Screenshot

„Ich habe noch nie so viel Befangenheit bei einem Moderator gesehen. Chris Wallace müsste morgen früh gefeuert werden“, schreibt ein Trump-Unterstützer. Schauspieler James Woods nennt es „eine herrliche Demonstration von Falschmeldung“. Eine andere Nutzerin fügt hinzu: „Chris Wallace spricht mit dem Präsidenten der Vereinigten Staaten, als wäre er ein Kleinkind.“





Als Wallace Trump fragte, ob er sich von der rassistischen Ideologie White Supremacy (weiße Vorherrschaft) distanziere und dazugehörige Gruppen, die bei Protesten Gewalt angeheizt hatten, zur Zurückhaltung auffordere, wich Trump aus – und fragte nach einem Beispiel für eine solche Gruppe. Biden warf die Proud Boys ein, eine neofaschistische Organisation. „Proud Boys, tretet zurück und haltet euch bereit“, so Trump. Das wahre Problem komme nicht von rechts, sondern von links. Daraufhin brach in den sozialen Medien Jubel unter Rechtsextremen aus. Ein bekannter Ableger der Gruppe änderte sogar ihr Logo. „Ich trete zurück und halte mich bereit, Sir“, schrieb ein anderer auf dem Telegram-Kanal der Gruppe, in Anspielung auf Trumps Worte.

Der Informationskrieg begann lange vor 21 Uhr amerikanischer Ostküstenzeit, noch bevor die beiden Kandidaten erstmals seit Beginn der Pandemie persönlich aufeinandertrafen. Am Dienstagnachmittag schickt die Trump-Kampagne eine Textnachricht an ihre Unterstützer: „EILT: Joe BETTELT um Pausen während der Debatte! GUCKT EUCH JOES OHREN AN! Er VERWEIGERTE einen Drogentest & LEHNTE eine Inspektion auf elektronische Ohrstöpsel AB!“ – gefolgt von einem Aufruf, an Trump zu spenden.

Quelle: Joe Biden/Facebook

Erholungspausen, Drogentest, Lautsprecher im Ohr – Biden als seniler, alter Mann, der aus eigener Kraft keine Fernsehdebatte bestreiten kann? Der Demokrat reagiert mit Humor, postet gut eine Stunde vor der Debatte ein Foto mit Kopfhörern und einer Erdnussbutter-Schoko-Eis-Packung auf Facebook: „Habe meine Ohrstöpsel und leistungssteigernden Mittel bereit.”





Anzeige

Tatsächlich sei Trumps größtes Risiko ein kompetent wirkender Herausforderer, sagt Darrell West. Trump habe Biden lange Zeit als politisch extrem und dem Amt nicht gewachsen dargestellt. Das lege die Latte für Biden nicht besonders hoch. „Wenn er vernünftig und selbstbewusst rüberkommt, sollte er die Debatte gewinnen können.“

„Eine Lügenlawine von Trump, wie üblich“

Am späten Dienstagnachmittag schickt Trumps stellvertretender Kommunikationschef eine Mail raus, die Bidens rhetorische Fähigkeiten in ein ganz anderes Licht stellt: Seit 47 Jahren nehme der Demokrat an politischen Debatten teil. Seit Wochen bereite er sich zudem auf diesen Abend vor. Er könne sich darauf verlassen, dass die Medien seine Leistung rühmen würden.

Biden, der erfahrene Rhetoriker, dem die Medien zugeneigt sind? Es ist der Versuch der Republikaner, die Latte höher zu legen, damit die Erwartungen der Zuschauer an Biden leichter enttäuscht werden können. In Trumps Basis jedoch hat Bidens Image als seniler Greis Wurzeln geschlagen.

„Der verschlafene Joe liest seine nächsten Gesprächspunkte ab“, kommentiert ein Nutzer einen Screenshot der Debatte, auf dem Biden seinen Kopf geneigt hält – ohne indes zu erklären, dass Notizen bei der Debatte gar nicht erlaubt sind.

Weil Falschinformationen eine bedeutende Rolle bei der amerikanischen Präsidentschaftswahl spielen, sind Fact Checks ein großes Thema bei der Fernsehdebatte. Daniel Dale, renommierter Journalist des amerikanischen Senders CNN, bewertet auf Twitter in Echtzeit die Aussagen der Kandidaten. Sein Fazit nach Ende der Debatte: „Eine Lügenlawine von Trump, wie üblich.“ Biden sei nicht perfekt gewesen, aber in seinen Aussagen weitgehend genau.

An dieser Stelle finden Sie Inhalte von Drittanbietern Um mit Inhalten von Drittanbietern zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Externe Inhalte aktivieren

Lesen Sie auch Trump vs. Biden Aussagen aus der ersten TV-Debatte im Faktencheck

Die Trump-Kampagne derweil schickte 18 Mails während des TV-Duells herum, alle betitelt mit „FAKT“. Eine dieser Botschaften liest sich so: „Präsident Trumps frühe Reaktion auf das Coronavirus war eine ,phänomenale Leistung‘ und rettete Leben.“ Fast zynisch klingt dieser Satz, nachdem die Zahl der Corona-Toten in den USA in der vergangenen Woche die 200.000er-Marke überschritten hatte.

Dabei seien Fakten oft nicht entscheidend, sagt Jay David Bolter, Co-Direktor des Augmented Media Lab am Georgia Institute of Technology, im Gespräch mit WELT. Trump-Anhängern sei das gemeinschaftliche Gefühl des Außenseitertums und das Beschwören eines gemeinsamen Feindes wichtiger als akkurate Information. Politiker wie Trump hätten verstanden, dass sie in ihren Aussagen nicht kohärent sein bräuchten: „Sie müssen lediglich die Aufmerksamkeit aller behalten und ein gewisses Maß an Entrüstung aufrechterhalten.“

Nun, entrüstet sind sie, beide Lager auf ihre Weise. In den sozialen Medien rufen Biden-Unterstützer den Herausforderer als Gewinner aus, Trump-Unterstützer den Präsidenten. Die Wahrheit ist weniger eindeutig. „Ich kann Ihnen den Verlierer der Debatte nennen“, schreibt Lisa Lerer von der „New York Times“ wenige Minuten nach Ende der Veranstaltung: „Die Wähler.“

Hier können Sie unsere WELT-Podcasts hören Wir nutzen den Player des Anbieters Podigee für unsere WELT-Podcasts. Damit Sie den Podcast-Player sehen können und um mit Inhalten aus Podigee und anderen sozialen Netzwerken zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Soziale Netzwerke aktivieren

Anzeige

Im Podcast „Inside USA“ erfahren Sie alles über den US-Wahlkampf – jeden Freitag neu.



",Carolina Drüten,1601438375,"US-Wahl, TV-Duell",welt
Spahn und Kalayci stellen Zwischenbilanz zu Corona-Maßnahmen vor,,,1601477876,"Deutschland, Gesundheitsministerkonferenz",welt
Dieses Geld-Geschenk bringt Ihnen bis zu 425.000 Euro,"In der Theorie waren Vermögenswirksame Leistungen schon immer eine besonders smarte Geldanlage. Schließlich schenkt der Arbeitgeber seinen Angestellten Monat für Monat Geld. Was kann es denn Besseres geben? Man bekommt einen niedrigen zweistelligen Betrag überwiesen, und das Vermögen wächst im Laufe der Jahre stetig an. Vermögenswirksame Leistungen – kurz VL genannt – sind damit praktisch ein kleiner Baustein für die private Altersvorsorge.

Dennoch lassen sich unzählige deutsche Sparer das geschenkte Geld entgehen, schlicht, weil ihnen das Konzept zu kompliziert ist. Doch das ändert sich jetzt – und so profitieren Sie künftig davon.","Nando Sommerfeldt, Holger Zschäpitz",1601476203,"Geld, Vermögenswirksame Leistungen",welt
Das können Ihnen die Kopfhörer von Apple wirklich bieten,,Kristina Baum,1601476200,"technik, AirPods im Check",welt
Nach Spuck-Attacke – Kabak fehlt Schalke für fünf Spiele,"David Wagner nimmt Ozan Kabak in Schutz. Der Abwehrspieler von Schalke 04 hat gegen Werder Bremen offenbar mit Absicht in Richtung eines am Boden liegenden Gegners gespuckt.

Anzeige

Innenverteidiger Ozan Kabak (20) wird nach seiner Spuck-Attacke Schalke 04 für fünf Spiele fehlen. Der Verein teilte die Entscheidung des Sportgerichts des Deutschen Fußball-Bundes auf Twitter mit.

Kabak spuckte bei der 1:3-Niederlage von Schalke 04 im Bundesliga-Spiel gegen Werder Bremen auf den am Boden liegenden Ludwig Augustinsson. Der Täter hat sich für sein Spucken in Richtung des Gegenspielers entschuldigt. Auf TV-Bildern wirkte die Aktion in der 27. Minute wie Absicht. Das dementierte der 20-Jährige. „Es war keine Absicht, die Sicht von außen täuscht. Ich habe so etwas noch nie gemacht und werde es auch niemals tun, da es einfach unsportlich ist. Dies war sehr unglücklich. In jedem Fall Entschuldigung an Ludwig“, schrieb Kabak bei Twitter.

Das Sportgericht begründete die Entscheidung aufgrund des „krass sportwidrigen Verhaltens in der Form einer versuchten Tätlichkeit.“ Hinzu kommt eine Geldstrafe von 15.000 Euro. Die Höhe der Sperre von vier Spielen sei „im Anschluss an die automatische Sperre von einem Meisterschaftsspiel aufgrund der Gelb-Roten Karte zu verbüßen“. Kabak fehlt daher in Summe fünf Spiele.

An dieser Stelle finden Sie Inhalte aus Twitter Um mit Inhalten aus Twitter und anderen sozialen Netzwerken zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Soziale Netzwerke aktivieren

Anzeige

Der angespuckte Augustinsson hatte nach Abpfiff mit Entsetzen auf die Aktion von Schalkes Abwehrspieler reagiert. „Das ist nicht schön, das hat nichts mit Fußball zu tun. Das ist nicht Fairplay“, sagte er im Interview. Die Situation in der 27. Minute habe er gar nicht bemerkt, sagte der 26 Jahre alte Schwede beim Betrachten der Fernsehbilder.

Neu-Trainer Baum muss auf Kabak verzichten

Der Innenverteidiger wurde für die Spuck-Attacke während des Spiels nicht bestraft. Trotzdem flog er nach wiederholtem Foulspiel in der zweiten Halbzeit vom Platz. In der 58. Minute verursachte der türkische Nationalspieler einen Elfmeter, in der 84. Minute sah er dann für ein taktisches Foul die Gelb-Rote Karte. Bereits nach dem Spiel war klar, dass Kabak länger als das obligatorische Spiel nach dem Platzverweis fehlen wird.

Quelle: pa/RHR-FOTO/Tim Rehbein

Dadurch, dass weder Schiedsrichter Markus Schmidt noch der Kölner Keller die Spuck-Attacke auf dem Platz wahrgenommen haben, konnte sich der DFB-Kontrollausschuss einschalten und die Sperre aussprechen.

Lesen Sie auch Schalke 04 Der Dreistufenplan nach Tönnies

Damit wird Kabak bei den ersten Spielen des neuen Trainers Manuel Baum fehlen. Unter anderem im Derby gegen Borussia Dortmund am 24. Oktober.","'Julien Wolff', 'Florian Haupt'",1601476195,"Sport, DFB-Sportgericht Entscheid",welt
Arias erklärt Unterschied zwischen Bosz und Simeone,,,1601476113,"Sport, Bayer Leverkusen",welt
So entsteht Deutschlands erstes Haus aus dem 3D-Drucker,,,1601475904,"Wirtschaft, Ganz ohne Maurer",welt
Relativierungen durch die AfD sorgen für Entsetzen im Landesparlament,"In der Hamburgischen Bürgerschaft holt die AfD zu einem Rundumschlag gegen die Kanzlerin und die Medien aus. Ihr Fraktionschef will viel lieber zurück „zur alten Normalität“.

Anzeige

Nach der Einigung von Bund und Ländern auf strenge Corona-Auflagen hat die AfD die Aktuelle Stunde der Hamburgischen Bürgerschaft zu einem Rundumschlag gegen Bundesregierung und Medien genutzt. „Im Umgang mit Covid-19 ist behutsames und vertrauensbildendes staatliches Handeln angesagt“, sagte Fraktionschef Dirk Nockemann am Mittwoch in der Hansestadt. Doch „was die Menschen zu Recht auf die Palme bringt“, seien Äußerungen von Bundeskanzlerin Angela Merkel (CDU), etwa in einer Videokonferenz mit dem CDU-Präsidium, „als sie davon sprach, es müsse nun brachial durchgegriffen werden“. Nockemann: „Was für ein anmaßendes, was für ein maßloses Vergreifen im Ton gegenüber den Wählern und Bürgern.“

Lesen Sie auch Volksverhetzung Hamburger Sozialdemokrat erstattet Strafanzeige gegen Ex-AfD-Sprecher

Lesen Sie auch Deutschland in der Pandemie Merkel treibt nur noch eines um

Unter starkem Kopfschütteln und lautem Raunen der übrigen Fraktionen in der Bürgerschaft fügte Nockemann hinzu: „Es mag sich ja in der Regierungszeit von Frau Merkel manches ins Alternativlose oder ins Autoritäre gewandelt haben. Aber noch sind die Bürger dieses Landes nicht die Untertanen, egal, welcher Regierung.“ Mit diesen „herablassenden Äußerungen“ sorge die Kanzlerin nicht für Einsicht bei den Bürgern, sondern eher für Protest und Unverständnis.

Lesen Sie auch Coronavirus Darum kapselt sich Hamburg von Daten des Robert-Koch-Instituts ab

Bundeskanzlerin Merkel und die Ministerpräsidenten der Länder hatten sich am Dienstag angesichts steigender Infektionszahlen unter anderem auf abgestufte Obergrenzen von zehn bis 50 Teilnehmern an Privatfeiern verständigt. Diese Grenzen sollen in Landkreisen gelten, in denen die Zahl der Neuinfektionen bestimmte Werte überschreitet. Zudem soll es künftig ein von den Gästen zu zahlendes Mindestbußgeld von mindestens 50 Euro für falsche Angaben auf Kontaktlisten von Gaststätten geben.

Lesen Sie auch Jobstatistik Fast ein Drittel mehr Arbeitslose als vor der Corona-Zeit

Anzeige

Im Bundestag rief die Kanzlerin am Mittwoch die Bürger eindringlich dazu auf, sich im Herbst und Winter an die Corona-Schutzmaßnahmen zu halten. „Ich appelliere an Sie alle: Halten Sie sich an die Regeln, die für die nächste Zeit weiter gelten müssen“, sagte Merkel. Jetzt müssten wir zeigen, „dass wir weiter geduldig und vernünftig handeln und so Leben retten können“. Es komme auf jeden Einzelnen an – „darum bitte ich Sie“, erklärte die Kanzlerin. Die sich verschlechternde Situation bei den Corona-Infektionen müsse ernst genommen werden. „Wir sind noch nicht am Ende der Pandemie“, warnte Merkel.

Kritik an den Medien

Aus Sicht der Hamburger AfD beeinträchtigt der Umgang mit Covid-19 „Bürger und Unternehmen unseres Landes bis an die Schmerzgrenze“. Ursächlich dafür seien „die kaum noch verhältnismäßigen Einschränkungen, die zu einem massiven wirtschaftlichen Niedergang geführt haben“, sagte Fraktionschef Nockemann. Auch sorgten jene Politiker für Frustration, die den Bürgern statt Hoffnung und Zuversicht nur Angst vermittelten und ständig weitergehende Maßnahmen ankündigten.

Den Medien warf Hamburgs AfD-Fraktionschef „eine aufgeregte Kriegsberichterstattung“ vor. Dabei sei Covid-19 „kein Killervirus“. Nockemann: „Menschen mit intaktem Immunsystem haben in der Regel kaum etwas zu befürchten. Schwere Symptome und massive Organschäden sind in der Regel bei diesem Personenkreis die Ausnahme.“ Von den 838 Intensivbetten in Hamburgs Krankenhäusern seien 17 belegt. Nockemann: „Wir als AfD wollen nicht die neue Normalität, wir wollen zurück zur alten Normalität.“

„Populisten können wir überhaupt nicht gebrauchen“

Anzeige

Die FDP-Abgeordnete Anna von Treuenfels-Frowein entgegnete dem AfD-Fraktionschef: „Das, was wir überhaupt nicht brauchen, sind Corona-Leugner und Populisten.“ In dieser Lage gehe es um eine Abwägung zwischen individueller Freiheit und Verantwortung gegenüber der Gesellschaft. „Der Gesundheitsschutz vor Corona rechtfertigt zeitweise Einschränkungen von Freiheitsrechten“, betonte Treuenfels-Frowein. Allerdings dürften die Kernelemente des Grundgesetzes nicht dauerhaft und nachhaltig eingeschränkt werden. Versammlungs-, Reise- oder unternehmerische Freiheit könnten auch unter Corona-Bedingungen nicht langfristig außer Kraft gesetzt werden, so die FDP-Abgeordnete.

Lesen Sie auch Bestimmungen zum Coronavirus Hochzeitstänze in Hamburg wieder erlaubt – aber nur als Aufführung

Unterdessen appellierte auch Bürgermeister Peter Tschentscher (SPD) an die Bürger: „Bitte halten Sie sich an die Regeln – in Bus und Bahn, im Supermarkt und besonders bei den privaten Feiern.“ Bei der Ministerpräsidentenkonferenz seien alle der Ansicht gewesen, dass die Lage stabil, aber kritisch sei. Mit hohen Infektionszahlen in den Frühjahrsferien habe Hamburg einen „schwieriger Start in die Pandemie“ gehabt, sagte Tschentscher. „Andere Großstädte haben uns mittlerweile überholt, nicht nur München.“

Dass die Zahlen nun wieder steigen, liege daran, dass die Corona-Regeln „nicht so konsequent eingehalten werden, wie es notwendig wäre“. Deshalb bat der Bürgermeister die Hamburger darum, in den bevorstehenden Herbstferien nicht in Risikogebiete zu reisen. „Machen Sie in Hamburg oder woanders in Deutschland Urlaub“, sagte der Sozialdemokrat und fügte hinzu: „Wir haben es selbst in der Hand, die Pandemie zu überstehen.“

Lockdown müsse verhindert werden

Anzeige

Darüber hinaus vertraten die Bürgerschaftsabgeordneten von SPD, Grünen, CDU, Linken und FDP übereinstimmend die Ansicht, dass ein erneuter Lockdown unbedingt verhindert werden müsse. Es gebe Orte, die im Falle eines Lockdowns keinesfalls wieder geschlossen werden dürften, sagte Grünen-Fraktionschef Dominik Lorenzen. Dazu gehörten die Orte, auf die die jüngsten und die ältesten Mitglieder der Gesellschaft angewiesen seien: „Kitas, Schulen und Pflegeheime.“

CDU-Fraktionsvorsitzende Dennis Thering übte indes abermals Kritik an der Corona-Politik des Senats. So erinnerte der Oppositionsführer an den Umtrunk von „Party-Senator Grote“. Ferner habe Rot-Grün „das Corona-Cornern“ viel zu lange laufen lassen und die Bußgelder für Maskenverweigerer in Bus und Bahn zu spät eingeführt. Auch der Gesundheitsexperte der Linksfraktion, Deniz Celik, betonte, dass Innensenator Andy Grote (SPD) mit seinem Umtrunk zu seiner Wiederernennung gegen Corona-Regeln verstoßen habe. „Deshalb haben wir es auch mit einem massiven Glaubwürdigkeitsproblem zu tun, wenn der Senat von allen anderen die Einhaltung der Regeln einfordert.“",Jana Werner,1601475625,"Hamburg, Corona-Debatte",welt
