title,text,author,published,tags,source
"Krankenhaus verwechselte Medikamente – Mann, 27, stirbt",,'Anette Dowideit',1598442840,"Panorama,Nach Routine-Operation",welt
Darum verbietet Berlin geplante Corona-Demos am Wochenende,,,1598442742,"Deutschland,Innensenator Geisel",welt
Dieser Sommer ist eine wissenschaftliche Offenbarung,"Seit Jahrzehnten warnen Klimaforscher vor einer globalen Erwärmung. Doch dabei befinden sie sich in einem Kommunikationsdilemma: Die Warnung lässt sich wissenschaftlich erst sicher beweisen, wenn sie bereits eingetreten ist. Einen solchen Beweis haben viele Menschen gerade hautnah erlebt: Das Wetter dieses Sommers hat eindrücklich demonstriert, dass das Klima der Welt sich wandelt. Extreme Hitzewellen zogen durch Asien, die Arktis und Amerika. Europa erlebte von Ende Juli an drei Wochen lang extreme Temperaturen. In weiten Teilen des Kontinents waren die Temperaturen seit Beginn der Messungen Ende des 19. Jahrhunderts noch nie an so vielen Tagen am Stück über 30 Grad Celsius geklettert.",Axel Bojanowski,1598442627,"Wissenschaft,Zunahme der Hitzewellen",welt
"Merkel soll „einfach die Wahrheit aussprechen“, fordert Greta Thunberg","Anzeige

Die Klimaaktivistin Greta Thunberg hat sich im Gespräch mit der Wochenzeitung „Zeit“ zu ihrem jüngsten Treffen mit Bundeskanzlerin Angela Merkel (CDU) geäußert: „Ganz offensichtlich braucht Angela Merkel die Unterstützung der Bevölkerung, sie braucht politischen Druck, sonst wird sie keine unbequemen Entscheidungen treffen“, sagte Thunberg.

Auf die Frage, ob die deutsche Bundeskanzlerin die Gefahren der Klimakrise stärker betonen solle, sagte Thunberg: „Sie sollte einfach die Wahrheit aussprechen.“ Das gelte aber für alle Staatschefinnen und -chefs, sie wolle nicht speziell Angela Merkel kritisieren.

Zur Klimabewegung Fridays for Future (FFF), die in diesen Tagen ihr zweijähriges Jubiläum feierte, sagte Thunberg, dass sie nicht deren Sprecherin sei. „Ich repräsentiere niemanden, dies ist eine Graswurzelbewegung, in der keiner im Namen von jemand anderem spricht.“

Thunberg: „Persönlich bin ich sehr glücklich“

Anzeige

Jeder und jede in der Bewegung sei gleich wichtig. Sie selbst fühle keinen Druck. „Ich könnte jederzeit sagen, nein, ich mache das nicht mehr, das wäre dann auch in Ordnung. Denn alles, was wir erreicht haben, haben wir als Bewegung erreicht, nicht als Einzelne.“

„Persönlich bin ich sehr glücklich“, sagte Thunberg hinsichtlich ihrer gegenwärtigen Stimmung. Sie sehe auch keinen Grund, wegen irgendetwas verängstigt zu sein. „Ich empfinde keine Klimabesorgnis oder Frustration, bin weder wütend noch traurig. Ich will auch meine Zeit nicht damit verschwenden, darüber zu spekulieren, was in Zukunft wohl werden wird, ich will diese Zukunft lieber verändern.“

Lesen Sie auch Kandidaturen für den Bundestag Wie nah rücken Grüne und Fridays for Future zusammen?

Thunberg hatte gemeinsam mit der deutschen FFF-Aktivistin Luisa Neubauer und zwei belgischen Aktivistinnen vor einer Woche mit Merkel gesprochen. Zentrales Thema waren die klimapolitischen Schwerpunkte in der laufenden EU-Ratspräsidentschaft Deutschlands, die angestrebte EU-Klimaneutralität bis 2050 sowie die Konkretisierung eines verschärften Zwischenziels für die Treibhausgas-Emissionen bis 2030.

Anzeige

In den Reihen von FFF in Deutschland hatte es noch am selben Tag Kritik an dem Treffen gegeben. „Der Termin war überhaupt nicht abgesprochen“, sagte Konstantin Nimmerfroh von FFF Frankfurt am Main der „tageszeitung“. Er kritisierte, dass die Basisgruppen erst wenige Tage vorher über das Vorhaben informiert worden seien.",'Frederik Schindler',1598442524,"Deutschland,Nach Besuch im Kanzleramt",welt
Gesundheitsminister Laumann – Pandemie ist in NRW weiter beherrschbar,"Anzeige

Trotz gestiegener Infektionszahlen in den vergangenen Wochen ist die Corona-Pandemie in Nordrhein-Westfalen aus Sicht der Landesregierung weiterhin unter Kontrolle. Gemessen an der zahlenmäßigen Entwicklung sei NRW „nicht in einem sorglosen Zustand, aber in einem beherrschbaren Zustand“, sagte Gesundheitsminister Karl-Josef Laumann (CDU) am Mittwoch im Düsseldorfer Landtag.

In einer Aktuellen Stunde wies er Vorwürfe von SPD und Grünen zurück, wonach die Landesregierung keine vernünftige Corona-Test-Strategie habe. „Wir testen in Nordrhein-Westfalen in einer Woche weit über 280.000 Menschen“, stellte Laumann fest. Vor den Sommerferien seien es maximal 80.000 Tests pro Woche gewesen.

Lesen Sie auch Rennen um CDU-Vorsitz Warum Laschet sich seiner Sache jetzt so sicher ist

„Wir sind in einer sehr hohen Schlagzahl unterwegs“, unterstrich der Minister. Es mache aber keinen Sinn, wahllos und ohne Anlass flächendeckend zu testen. So würden kaum Infizierte gefunden – jeder Test koste aber 70 Euro und binde Personal, erklärte Laumann. NRW teste Personen mit Symptomen und halte sich damit an die Empfehlungen des Robert-Koch-Instituts.

Anzeige

Darüber hinaus habe die Landesregierung vor dem Start des neuen Kita- und Schuljahres die politische Entscheidung getroffen, dass alle Erzieherinnen und Lehrer sich testen lassen könnten. Inzwischen hätten dies etwa 50.000 Personen aus diesem Kreis in Anspruch genommen, berichtete Laumann. In nur 0,3 Prozent dieser Fälle sei das Testergebnis positiv gewesen.

Im Vergleich zu vielen anderen Bundesländern stehe NRW gut da, unterstrich der CDU-Politiker. Die wichtige Kennziffer der Neuinfektionen im Sieben-Tages-Zeitraum, gerechnet auf 100.000 Einwohner, liege in NRW aktuell bei 11,2 – in Hessen bei 17, in Bayern bei 14 und in Baden-Württemberg bei 13. Derzeit stecke in NRW ein Infizierter weniger als einen weiteren Menschen an. „So ganz schlecht können wir das bei uns nicht machen“, sagte Laumann.","'Birgit Herden', 'Johannes Boie', 'Sabine Menkens', 'Ulrich Exner', 'Kristian Frigelj', 'Ulf Poschardt'",1598442480,"Nordrhein-Westfalen,Coronavirus in NRW",welt
„Staatliche Anordnung“ – Spahn kündigt „verstärktes Quarantäne-Regime“ an,"Gesundheitsminister Jens Spahn will zur alten Teststrategie zurückkehren. Er kündigt zudem verstärkte Kontrollen der Quarantäne an. Bayerns Ministerpräsident Markus Söder kritisiert den Strategiewechsel deutlich.

Die Bundesregierung hat ihre Teststrategie in der Corona-Pandemie angepasst. Künftig sollen Reiserückkehrer aus Risikogebieten direkt in Quarantäne. Getestet wird nur noch bei konkretem Verdacht. Bundesgesundheitsminister Jens Spahn erklärt die Anpassung.

„Wer in ein Risikogebiet reist, weiß, in welche Folgeregelungen er sich begibt“

Hier können Sie unsere WELT-Podcasts hören Wir nutzen den Player des Anbieters Podigee für unsere WELT-Podcasts. Damit Sie den Podcast-Player sehen können und um mit Inhalten aus Podigee und anderen sozialen Netzwerken zu interagieren oder diese darzustellen, brauchen wir Ihre Zustimmung. Soziale Netzwerke aktivieren

Bundesgesundheitsminister Jens Spahn hat die geplanten Änderungen bei Tests für Reiserückkehrer verteidigt. „Die Strategie beinhaltet es in einer solchen dynamischen Großlage immer, auch lageangepasst die konkreten Maßnahmen weiterzuentwickeln“, sagte der CDU-Politiker am Mittwoch in Berlin. Daran werde man sich gemeinsam gewöhnen müssen.

Anzeige

Spahn und die Gesundheitsminister aus mehreren Ländern streben an, dass es für Reiserückkehrer keine kostenlosen Corona-Tests mehr geben soll. Rückkehrer aus Risikogebieten sollen sich in Quarantäne begeben und diese künftig frühestens mit einem fünf Tage nach Einreise vorgenommenen negativen Test verlassen dürfen. Das sei eine „staatliche Anordnung“.

Im Moment gilt für diese Reisenden noch, dass sie die Quarantäne mit Vorlage eines maximal 48 Stunden alten Tests bei der Einreise oder durch einen in Deutschland auf Anordnung der Behörden gemachten Test umgehen können. Dafür gilt seit 8. August eine entsprechende Verordnung zur „Testpflicht“.

Anzeige

Spahn zufolge soll nach den „zusätzlichen Testanstrengungen in der Reisezeit“ nun wieder zu einem „Langzeitansatz“ zurückgekehrt werden. Es gehe darum, zielgerichtet Menschen mit Symptomen und mit Kontakt zu Covid-19-Patienten, Pflegekräfte, Ärzte und Pflegebedürftige zu testen. Der Minister verwies erneut darauf, dass auch die Laborkapazitäten endlich seien. Die Testzahlen hätten sich innerhalb von nur zwei, drei Wochen verdoppelt.

Lesen Sie auch Regeln für Reiserückkehrer „Der Gesundheitsminister tut so, als wäre die Überlastung vom Himmel gefallen“

Stattdessen kündigte Spahn ein „verstärktes Quarantäne-Regime“ für Rückkehrer aus Risikogebieten nach Ende der Testpflicht an. Außerdem sollen die stichprobenartigen Kontrollen der Quarantäne verstärkt werden. Als Maßnahme dazu habe das Bundeskabinett eine stärkere Digitalisierung beschlossen. Digitale Aussteigekarten etwa bei Flugreisen sollten dabei helfen, die Gesundheitsämter vor Ort zu entlasten.

Söder widerspricht Spahn

Bayerns Ministerpräsident Markus Söder (CSU) kritisiert die geplante Neuausrichtung bei der Teststrategie. Er will an umfangreichen Corona-Tests für Reiserückkehrer festhalten. Vier Bundesländer seien strikt gegen Pläne, die kostenlosen Tests für Reiserückkehrer wieder zu streichen, sagte der CSU-Chef. Man könne nicht zwei Wochen nach Einführung der Testmöglichkeiten diese wieder abschaffen wollen.

Anzeige

Die deutlich höhere Anzahl an Positivfällen unter den Rückreisenden zeige, dass es nicht um „Massentests“, sondern eine gezielte Teststrategie gehe, betonte der CSU-Chef. Söder widersprach auch der Einschätzung des Bundesgesundheitsministeriums, das vor einer Überforderung der Testkapazitäten gewarnt hatte. Statt die Tests zurückzufahren, solle man lieber die Kapazitäten weiter ausbauen. Er gehe davon aus, dass sich nach Ende der Sommerferien die Zahl der Reiserückkehrer ohnehin reduzieren werde.

Spahn betonte am Mittwoch, er sei zuversichtlich, dass bei den Gesprächen der Ministerpräsidenten der Länder mit Bundeskanzlerin Angela Merkel (CDU) am Donnerstag ein guter Kompromiss gefunden werde.","'Thomas Straubhaar', 'Martina Meister', 'Hannelore Crolly', 'Diana Pieper'",1598442439,"Deutschland,Umgang mit Reiserückkehrern",welt
Novak Djokovic souverän gegen Sandgren - nun gegen Struff,,,1598442367,"Sport,Masters-1000-Turnier",welt
Frustrierte Williams scheidet trotz Satzführung aus,,,1598442275,"Sport,Western & Southern Open",welt
Lionel Messi? Fans machen Vorstand verantwortlich,,,1598442146,"Sport,FC Barcelona",welt
Tom Cruise geht mit Maske ins Kino – und entfacht Diskussion,,,1598441959,"Panorama,Videoclip",welt
