title,text,author,published,tags,source
Die Partei hat nun einen Realo-Flügel,"Anzeige

Vor 16 Jahren gründete Martin Sonneborn Die Partei – als Witz, als Provokation. Seit der Europawahl 2014 sitzt der Satiriker im Europaparlament, seine Partei feiert auch bei Kommunalwahlen Erfolge, zuletzt bei den Wahlen im September in Nordrhein-Westfalen. Mit dem Erfolg an der Wahlurne werden nun die Stimmen lauter, die ein ernsteres politisches Programm von der Satirepartei fordern.

„Kommunalpolitisch kann man wenig erreichen, wenn man sich nur zum Kasper macht. Da bekommt man keine Stimmen“, sagte der nordrhein-westfälische Lokalpolitiker Timo Gätzschmann dem „Spiegel“. Sein Ortsverband holte bei den Kommunalwahlen vor drei Wochen in Schermbeck in der Nähe von Bottrop 10,3 Prozent der Stimmen und wurde damit drittstärkste Kraft noch vor der SPD.

Martin Sonneborn will seine Partei nun mit einem satirischen und einem realpolitischen Flügel in die nächste Bundestagswahl führen. „Wir haben Satiriker, und wir haben ­Realpolitiker in der Partei“, zitiert ihn das Nachrichtenmagazin. Deshalb versuche man bei den kommenden Wahlen, beispielsweise zum Abgeordnetenhaus in Berlin im nächsten Jahr, die „besten Köpfe aus beiden ­Bereichen“ aufzustellen.

Anzeige

Seine Vorstandskollegin Kerstin Kruschwitz betonte aber: „Unser Ziel muss es sein, Probleme in der Politik satirisch aufzudecken.“ In sechs Städten holte Die Partei bei der Europawahl 2019 mehr Stimmen als die FDP, in Hamburg in sieben Stadtteilen mehr als die CDU. Insgesamt kam sie auf 2,4 Prozent der Stimmen. Bei der Bundestagswahl 2017 erreichte sie ein Prozent. Bei der NRW-Kommunalwahl holte sie zuletzt 28 Mandate.","'Daniel Wetzel', 'Stefan Laurin', 'Henryk M. Broder', 'Thore Barfuss'",1601632674,"Deutschland, Martin Sonneborn",welt
Mourinho bettelt nicht für Kanes England-Pause,,,1601632615,"Sport, Tottenham Hotspur",welt
Assistenztrainer Lijnders gibt Thiago-Update,,,1601632540,"Sport, FC Liverpool",welt
"Koeman verrät, wie er Messi glücklich machen will",,,1601632462,"Sport, FC Barcelona",welt
"""Highlight-Spiel gegen Bayern""",,,1601632196,"Sport, Christoph Freund",welt
Armenien erklärt sich zu Waffenstillstandsgesprächen bereit,"Ein Mann steht in den Ruinen seines Hauses

Anzeige

Die Hauptstadt von Bergkarabach ist nach armenischen Angaben am Freitag von Aserbaidschans Streitkräften angegriffen worden. Bei den Angriffen auf Stepanakert seien mehrere Menschen verletzt worden, erklärte ein Vertreter des Verteidigungsministeriums in Eriwan auf seiner Facebook-Seite. „Es gibt viele Verletzte in der Zivilbevölkerung, und die zivile Infrastruktur wurde beschädigt“, erklärte Arzrun Owanissjan weiter.

Zuvor hatte sich Armenien zu Waffenstillstandsverhandlungen mit Aserbaidschan bereit erklärt. Armenien stehe „bereit“ für Gespräche innerhalb der sogenannten Minsk-Gruppe der Organisation für Zusammenarbeit und Entwicklung in Europa (OSZE), teilte das Außenministerium in Eriwan am Freitag mit.

Wegen des wieder aufgeflammten Konflikts hatten sowohl Armenien als auch Aserbaidschan das Kriegsrecht verhängt. Die Nachbarstaaten machten sich gegenseitig für die Eskalation verantwortlich. Bei den Gefechten wurden seit Sonntag fast 200 Menschen getötet, darunter 30 Zivilisten.

Anzeige

Am Donnerstag hatten Russlands Präsident Wladimir Putin, US-Präsident Donald Trump und Frankreichs Präsident Emmanuel Macron an die Konfliktparteien appelliert, die Kampfhandlungen einzustellen und an den Verhandlungstisch zurückzukehren. Am Tag zuvor hatten beide Konfliktparteien internationale Vermittlungsangebote abgelehnt.

Die für Vermittlung im Bergkarabach-Konflikt zuständige Minsk-Gruppe der OSZE wird seit 1992 zusammen von Russland, Frankreich und den USA geleitet. Die letzten groß angelegten Verhandlungen im Minsk-Format waren 2010 gescheitert.

Bergkarabach gilt völkerrechtlich als Teil Aserbaidschans

Bergkarabach liegt in Aserbaidschan, wird aber mehrheitlich von Armeniern bewohnt, welche die Region auch unter ihrer Kontrolle haben. Die selbst ernannte Republik Bergkarabach wird international nicht anerkannt und gilt völkerrechtlich als Teil Aserbaidschans.

Anzeige

In dem Konflikt spielt auch die Konkurrenz zwischen Russland und der Türkei um Einfluss in der südlichen Kaukasusregion eine wichtige Rolle. Das ölreiche Aserbaidschan hat seine Armee in den vergangenen Jahren hochgerüstet und kann auf die Unterstützung der Türkei zählen.

Russland gilt historisch als Armeniens Schutzmacht und unterhält dort einen Militärstützpunkt. Zugleich pflegt Moskau gute Beziehungen auch zu Aserbaidschan und beliefert es mit Waffen.","'Deniz Yücel', 'Alfred Hackensberger', 'Pavel Lokshin'",1601632149,"Ausland, Bergkarabach-Konflikt",welt
Die „kleine Acht“ gilt als Musterbeispiel für einen natürlichen Garten,"Anzeige

Es war die „kleine Acht“, durch die Rainer Elstermann so richtig bekannt wurde. Der 55-Jährige war noch Hobbygärtner, als er den Garten rund um sein Ferienhaus in der Uckermark anlegte. Das Grundstück war klein. Spitz zulaufend. „Und nicht einfach zu bepflanzen“, erinnert sich Elstermann.

Dann kam er auf die Idee, einen kleinen geschlängelten Weg anzulegen, der an eine Acht erinnert. Er setzte widerstandsfähige Pflanzen in jene trockene Erde, die so typisch ist für diese dünn besiedelte Gegend zwischen Brandenburger Getreidefeldern. Katzenminze, Steppensalbei und Atlas-Schwingel kommen hier gut zurecht. Ansonsten ließ Elstermann wachsen, was sich von selbst ansiedelt, und sorgte dafür, dass sich die Pflanzen nicht überwuchern.

Lesen Sie auch Hommage an das Gärtnern Jeder Garten ist eine unendliche Geschichte

Das war vor sieben Jahren. Inzwischen ist die „kleine Acht“ weithin bekannt und gilt als Musterbeispiel für einen natürlichen Garten. Er wurde schon oft in Magazinen gezeigt. Hobbygärtner fragten Elstermann so oft um Rat, dass der gelernte Fotograf sogar sein Metier wechselte. Heute berät er professionell Gärtner in der Region, wie sie einen nachhaltigen Garten anlegen können. „Die Kunden wollen oft, dass der Garten so wenig pflegeintensiv wie möglich angelegt wird“, sagt Elstermann.

Anzeige

Damit treffen zwei Gartenwelten aufeinander, die erstaunlich gut zueinander passen: einerseits eine möglichst naturnahe Bepflanzung. Artenreich, tierfreundlich und nachhaltig. Und andererseits ein Pflegestil, der nicht zu viel Arbeit macht. Bei dem man nicht jedes Wochenende die Rasenkanten akkurat stutzen und die Stauden in Form bringen muss.

Allerdings müssen Gärtner auch hier einiges beachten. Einfach nur wachsen und wuchern lassen ist jedenfalls nicht die Lösung. Der Einstieg in den natürlichen Garten muss zunächst gut geplant sein.

Die Definition von Nachhaltigkeit

Das Wichtigste ist, dass die Pflanzen zu ihrem Standort passen. Elstermann siedelte zunächst Arten an, die keine Probleme mit Trockenphasen haben. Als Bodendecker etwa eignen sich Pflanzen mit dicken Blättern, die auf ein gutes Wasserpolster hindeuten.

Anzeige

Die Kaukasus-Fetthenne oder Große Fetthenne beispielsweise mit ihren winzigen roten Blüten zählt dazu – und kann im Sommer ein richtiger Schmetterlingsmagnet sein. Auch Steppensalbei zieht Insekten an, wächst monatelang vor sich hin und benötigt eigentlich nur einmal im Jahr einen Rückschnitt.

Lesen Sie auch Mensch und Natur Schuften Sie im Garten? Wissen Sie eigentlich, wieso?

Gleiches gilt für Sommerflieder. Und selbst zwischen trockenen Steinen kann noch ein Hauswurz wachsen, den man fast vollständig sich selbst überlassen kann.

Nachhaltigkeit im Garten – was bedeutet das eigentlich? Vom Grundsatz her ist ein Garten dann nachhaltig, wenn er mit den vorhandenen Ressourcen genügend eigene Regenerations- und Selbsterhaltungskräfte entwickeln kann, und das bei möglichst hoher Artenvielfalt.

Anzeige

Wie aber geht man im nachhaltigen Garten mit dem Thema Unkraut um? Eine Frage, die Elstermann schon oft gehört hat, auf die es aber keine pauschale Antwort gibt. Unkraut sei dann ein Problem, wenn es andere Pflanzen überwuchert, sagt er. Pestizide sind im nachhaltigen Garten jedoch tabu, im Zweifel bleibt nur das Auszupfen mit der Hand.

Lesen Sie auch Leipzig bis Versailles Diese Gärten muss man gesehen haben

„Einige Unkräuter kann man aber auch einfach stehen lassen“, so Elstermann. Ein Beispiel sei Ajuga Reptans, der kriechende Günsel, mit kleinen lila Blüten, das von vielen als Unkraut angesehen wird. Elstermann findet dagegen, es sei ein wunderbarer Bodenbedecker.

Generell arbeite man im nachhaltigen Garten nicht gegen, sondern mit der Natur, betont der Gartenfachmann. Dazu gehört auch, darauf zu achten, welche Pflanzen sich gut vertragen. Dass Brennnessel, Giersch oder Löwenzahn als schmackhafte Kräuter den Salat ergänzen können, hat sich inzwischen herumgesprochen. Also warum nicht einfach stehen lassen?

Prinzipiell gilt: Je aufgeräumter und ordentlicher, desto weniger nachhaltig ist ein Garten, sagt Elstermann. Und je weniger man wegschmeiße, desto besser. Beim Anlegen von Beeten etwa stoße man oft auf Steine. Mit denen kann man kleine Mäuerchen anlegen oder Steinhaufen, statt teure Ziersteine zu ordern und die eigenen Steine in den Sondermüll zu geben.

Lesen Sie auch Balkon bis Hochbeet In zehn Schritten zum entspannten Gärtnern

Abgesägte Äste von Bäumen könne man in einer Ecke schichten. Darüber freuen sich die gefiederten Gäste: Oft werden solche vermeintlichen Schmuddelecken von Vögeln und Insekten als Nistplatz auserkoren. Gerade im Spätsommer und im Herbst fällt Strauchschnitt an, mit dem man Lebensräume schaffen kann.

Nahrung für Schmetterlingsraupen ist der gewöhnliche Kreuzdorn, der auch Sandbienen ernährt. Vögel mögen seine schwarzen Beeren, die für den Menschen giftig sind. In einem perfekt gepflegten Garten mit kurz geschorenem Rasen finden Tiere und Kleinlebewesen dagegen kaum Platz.

Claudia Puchta beobachtet schon länger, dass akkurate Grünflächen gar nicht mehr gefragt sind. „Meine Kunden wollen in ihrem Garten einen Lebensraum für Mensch, Tier und Pflanze gestalten“, sagt die Landschaftsarchitektin von Naturgartenland in Tuntenhausen in Bayern. Was den Rasen angeht, solle man deshalb „Blühinseln stehen lassen, um Lebensbereiche für Insekten zu schaffen“.

Lesen Sie auch Mammutbäume „Man sollte schon 2000 Quadratmeter zur Verfügung haben“

Anzeige

Wenn die Wiese irgendwann zu hoch ist, könne man mit der Sense stutzen oder mit dem Freischneider. Vertikutiert wird im nachhaltigen Garten sowieso nicht, da Moose und Kräuter wichtig für das Ökosystem Garten sind. Man spart also auch hier nebenbei einiges an Arbeit.

Samen aus dem Bioanbau

Puchta warnt, dass sich der naturnahe Garten nicht sofort und von selbst einstellt: Man benötige durchaus ein Konzept. „Wer seinen Garten nachhaltig gestalten will, sollte neugierig sein und nicht zu ungeduldig sein! Der Garten muss sich entwickeln können und verändert sich auch mit der Zeit immer wieder“, sagt sie.

Zudem müsse man genau hinschauen, welche Pflanzen sich auf Dauer wo wohlfühlen. „Wenn der Garten eine Ecke mit viel Schatten hat, suche ich Pflanzen aus, die im Schatten gedeihen, wie das Geißblatt, oder die abends duften, etwa die Nachtviole“, sagt Puchta.

Lesen Sie auch Deutsche Schicksalsorte „Wir wollten raus aus Berlin“

Auch sie hat einen Tipp zum Thema Unkraut: „Bei neu angelegten Flächen achte ich darauf, dass die verwendeten Substrate frei von Samen oder Wurzeln von Pflanzen sind, die die jungen Wildblumen schnell unterdrücken können.“

Wer allerdings nicht säckeweise teure Pflanzerde kaufen kann oder will, muss cool bleiben: „In einem naturnahen Garten darf es auch Ecken geben, in denen neben den Wildblumen klassische Unkräuter wachsen. Manche Kunden möchten diese Pflanzen sogar im Garten haben“, erzählt die Landschaftsarchitektin.





Auch im Rheinland ist die Nachfrage nach nachhaltigen Gartenanlagen gewachsen, berichtet Joel Kohlbrock von der Gärtnerei Esken & Hindrichs aus Leichlingen bei Leverkusen. Bei Neuanlagen von Gärten empfiehlt Kohlbrock oft sogenannte Klimabäume, das sind trockenheits- und hitzeverträgliche Sorten: Spitz- und Feldahorn, Winterlinde, Hängebirke. Aber auch Kirschbäume kommen gut mit Hitzeperioden zurecht.

Vermögen aufbauen Lassen Sie Ihre Anlage-Strategie gratis prüfen! Als WELT-Leser können Sie an einem kostenlosen Geld-Check der V-BANK teilnehmen und Ihre Anlagen von einem unabhängigen Vermögensexperten unverbindlich überprüfen lassen. Profitieren Sie jetzt von einer Profi-Meinung.

Wer seinen Garten mit Pflanzen neu bestücken will, sollte auch auf Samen und Pflanzen aus dem Bioanbau zurückgreifen. Der Hof Jeebel in Salzwedel beispielsweise verkauft solche und verschickt sie deutschlandweit. „Biosaatgut unterscheidet sich erheblich von konventionellem Saatgut“, erklärt Mitarbeiterin Martina Peters.

Zurück aufs Land – weil es nicht anders geht In die Großstädte zu ziehen, dass kann sich kaum noch jemand leisten. Vor allem Familien müssen sich häufig zwangsläufig für eine Immobilie in den Speckgürteln der Metropolen entscheiden. Auch die Corona-Krise könnte den Trend verstärken. Quelle: WELT

Anzeige

Biosamen seien nicht gegerbt, um sie haltbar zu machen, und sie sind auch samenfest. Das heißt, daraus wachsen Pflanzen, die dieselben Eigenschaften wie deren Elternpflanzen haben und sich natürlich vermehren können. Wieder ein Stressfaktor weniger.

Selbst der Winter kann übrigens Blüten in den Garten bringen, mit einer Pflanze, die viel aushalten kann: Winterjasmin blüht mit seinen Sternblüten von Dezember bis März.",Dirk Engelhardt,1601632144,"Immobilien, Nachhaltiges Gärtnern",welt
Novak Djokovic zaubert gegen Ricardas Berankis,,,1601632106,"Sport, French Open",welt
Sind zu langsam ins Spiel gekommen,,,1601631935,"Sport, Anthony Davis",welt
"""Haben eine richtige Fußball-Gruppe""",,,1601631808,"Sport, Jürgen Klopp",welt
